line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
94,676177.635426,76,128.178.122.39,53774,702,,congestion_avoidance,
95,676177.636540,77,128.178.122.39,53774,772,,congestion_avoidance,
96,676177.637401,78,128.178.122.39,53774,760,,congestion_avoidance,
97,676177.638328,79,128.178.122.39,53774,629,,congestion_avoidance,
98,676177.639409,80,128.178.122.39,53774,665,,congestion_avoidance,
99,676177.640188,81,128.178.122.39,53774,726,,congestion_avoidance,
100,676177.641346,82,128.178.122.39,53774,835,,congestion_avoidance,
101,676177.642398,83,128.178.122.39,53774,840,,congestion_avoidance,
102,676177.643263,84,128.178.122.39,53774,629,,congestion_avoidance,
103,676177.644439,85,128.178.122.39,53774,780,,congestion_avoidance,
104,676177.646017,86,128.178.122.39,53774,1261,,congestion_avoidance,
105,676177.646710,87,128.178.122.39,53774,602,,congestion_avoidance,
106,676177.647868,88,128.178.122.39,53774,919,,congestion_avoidance,
107,676177.648932,89,128.178.122.39,53774,802,,congestion_avoidance,
108,676177.649856,90,128.178.122.39,53774,684,,congestion_avoidance,
109,676177.650932,91,128.178.122.39,53774,723,,congestion_avoidance,
110,676177.652012,92,128.178.122.39,53774,752,,congestion_avoidance,
111,676177.653221,93,128.178.122.39,53774,881,,congestion_avoidance,
112,676177.654357,94,128.178.122.39,53774,994,,congestion_avoidance,
113,676177.655596,95,128.178.122.39,53774,619,,congestion_avoidance,
114,676177.656952,96,128.178.122.39,53774,934,,congestion_avoidance,
115,676177.657090,96,128.178.122.39,53774,,48,congestion_avoidance,cwr
116,676177.657246,48,128.178.122.39,53774,684,,loss_recovery,
117,676177.657730,48,128.178.122.39,53774,,48,loss_recovery,open
118,676177.658419,49,128.178.122.39,53774,568,,congestion_avoidance,
119,676177.658926,50,128.178.122.39,53774,549,,congestion_avoidance,
120,676177.659801,51,128.178.122.39,53774,586,,congestion_avoidance,
121,676177.660219,52,128.178.122.39,53774,622,,congestion_avoidance,
122,676177.660832,53,128.178.122.39,53774,551,,congestion_avoidance,
123,676177.661647,54,128.178.122.39,53774,440,,congestion_avoidance,
124,676177.662179,55,128.178.122.39,53774,468,,congestion_avoidance,
125,676177.663030,56,128.178.122.39,53774,479,,congestion_avoidance,
126,676177.663675,57,128.178.122.39,53774,614,,congestion_avoidance,
127,676177.664243,58,128.178.122.39,53774,562,,congestion_avoidance,
128,676177.664961,59,128.178.122.39,53774,580,,congestion_avoidance,
129,676177.665708,60,128.178.122.39,53774,532,,congestion_avoidance,
130,676177.666443,61,128.178.122.39,53774,730,,congestion_avoidance,
131,676177.667188,62,128.178.122.39,53774,690,,congestion_avoidance,
132,676177.668029,63,128.178.122.39,53774,487,,congestion_avoidance,
133,676177.668759,64,128.178.122.39,53774,726,,congestion_avoidance,
134,676177.669745,65,128.178.122.39,53774,640,,congestion_avoidance,
135,676177.670480,66,128.178.122.39,53774,611,,congestion_avoidance,
136,676177.671281,67,128.178.122.39,53774,600,,congestion_avoidance,
137,676177.672040,68,128.178.122.39,53774,582,,congestion_avoidance,
138,676177.672748,69,128.178.122.39,53774,767,,congestion_avoidance,
139,676177.673879,70,128.178.122.39,53774,861,,congestion_avoidance,
140,676177.674641,71,128.178.122.39,53774,745,,congestion_avoidance,
141,676177.675378,72,128.178.122.39,53774,778,,congestion_avoidance,
142,676177.676427,73,128.178.122.39,53774,763,,congestion_avoidance,
143,676177.677293,74,128.178.122.39,53774,785,,congestion_avoidance,
144,676177.678004,75,128.178.122.39,53774,756,,congestion_avoidance,
145,676177.679170,76,128.178.122.39,53774,883,,congestion_avoidance,
146,676177.679946,77,128.178.122.39,53774,816,,congestion_avoidance,
147,676177.681038,78,128.178.122.39,53774,649,,congestion_avoidance,
148,676177.681958,79,128.178.122.39,53774,687,,congestion_avoidance,
149,676177.682784,80,128.178.122.39,53774,805,,congestion_avoidance,
150,676177.684039,81,128.178.122.39,53774,658,,congestion_avoidance,
151,676177.684743,82,128.178.122.39,53774,651,,congestion_avoidance,
152,676177.686038,83,128.178.122.39,53774,900,,congestion_avoidance,
153,676177.686801,84,128.178.122.39,53774,706,,congestion_avoidance,
154,676177.687979,85,128.178.122.39,53774,729,,congestion_avoidance,
155,676177.689000,86,128.178.122.39,53774,662,,congestion_avoidance,
156,676177.690160,87,128.178.122.39,53774,790,,congestion_avoidance,
157,676177.691133,88,128.178.122.39,53774,710,,congestion_avoidance,
158,676177.692206,89,128.178.122.39,53774,725,,congestion_avoidance,
