# R_arrival samples from kprobe:tbf_enqueue
# interval_seconds=0.001000000
timestamp,interval_seconds,bytes,packets,r_arrival_mbit
# bpftrace: Attaching 2 probes...
1781135454.763004,0.001004663,0,0,0.000000
1781135454.763105,0.000996661,0,0,0.000000
1781135454.763166,0.001006236,0,0,0.000000
1781135454.763227,0.000997359,0,0,0.000000
1781135454.763287,0.001000318,0,0,0.000000
1781135454.763344,0.000997297,0,0,0.000000
1781135454.763396,0.000995264,0,0,0.000000
1781135454.763452,0.001004672,0,0,0.000000
1781135454.763505,0.000990798,0,0,0.000000
1781135454.763560,0.000999820,0,0,0.000000
1781135454.763613,0.001006167,0,0,0.000000
1781135454.763669,0.000995475,0,0,0.000000
1781135454.763722,0.000998733,0,0,0.000000
1781135454.763778,0.001003910,0,0,0.000000
1781135454.763834,0.001005972,0,0,0.000000
1781135454.763889,0.001002041,0,0,0.000000
1781135454.763940,0.000991534,0,0,0.000000
1781135454.763998,0.001002008,0,0,0.000000
1781135454.764050,0.000994285,0,0,0.000000
1781135454.764106,0.001013713,0,0,0.000000
1781135454.764160,0.000998650,0,0,0.000000
1781135454.764217,0.000995297,0,0,0.000000
1781135454.764272,0.000991999,0,0,0.000000
1781135454.764331,0.001000579,0,0,0.000000
1781135454.764385,0.000999391,0,0,0.000000
1781135454.764439,0.001012835,0,0,0.000000
1781135454.764493,0.000997197,0,0,0.000000
1781135454.764549,0.000990065,0,0,0.000000
1781135454.764602,0.001004560,0,0,0.000000
1781135454.764657,0.001009538,0,0,0.000000
1781135454.764711,0.000995746,0,0,0.000000
1781135454.764765,0.001001563,0,0,0.000000
1781135454.764818,0.000989974,0,0,0.000000
1781135454.764870,0.001011406,0,0,0.000000
1781135454.764924,0.000995893,0,0,0.000000
1781135454.764975,0.000991556,0,0,0.000000
1781135454.765029,0.000999568,0,0,0.000000
1781135454.765090,0.001003036,0,0,0.000000
1781135454.765144,0.000997494,0,0,0.000000
1781135454.765198,0.001000669,0,0,0.000000
1781135454.765251,0.001005366,0,0,0.000000
1781135454.765304,0.001006516,0,0,0.000000
1781135454.765357,0.000998509,0,0,0.000000
1781135454.765409,0.000995439,0,0,0.000000
1781135454.765467,0.001005997,0,0,0.000000
1781135454.765520,0.000996726,0,0,0.000000
1781135454.765576,0.001005333,0,0,0.000000
1781135454.765628,0.000985914,0,0,0.000000
1781135454.765685,0.000999206,0,0,0.000000
1781135454.765736,0.001000816,0,0,0.000000
1781135454.765790,0.001007885,0,0,0.000000
1781135454.765842,0.000999965,0,0,0.000000
1781135454.765895,0.000998022,0,0,0.000000
1781135454.765947,0.001010947,0,0,0.000000
1781135454.765999,0.000990027,0,0,0.000000
1781135454.766357,0.000999065,0,0,0.000000
1781135454.767345,0.001000135,0,0,0.000000
1781135454.768363,0.001013256,0,0,0.000000
1781135454.769382,0.000992790,0,0,0.000000
1781135454.770398,0.000999297,0,0,0.000000
1781135454.771456,0.001005592,0,0,0.000000
1781135454.772360,0.000993191,0,0,0.000000
1781135454.773369,0.001005322,0,0,0.000000
1781135454.775732,0.000990727,0,0,0.000000
1781135454.776024,0.000999368,0,0,0.000000
1781135454.776352,0.001008928,0,0,0.000000
1781135454.777350,0.000991467,0,0,0.000000
1781135454.778389,0.001013065,0,0,0.000000
1781135454.779396,0.000987109,0,0,0.000000
1781135454.780792,0.001001737,0,0,0.000000
1781135454.782669,0.001000531,0,0,0.000000
1781135454.787978,0.001002911,0,0,0.000000
1781135454.788027,0.000998117,0,0,0.000000
1781135454.788048,0.001005555,0,0,0.000000
1781135454.788073,0.000996379,0,0,0.000000
1781135454.788101,0.001000631,0,0,0.000000
1781135454.788139,0.001001671,0,0,0.000000
1781135454.788358,0.000993649,186,1,1.497511
1781135454.789440,0.001002780,0,0,0.000000
1781135454.790649,0.001011684,186,1,1.470815
1781135454.791419,0.000991337,0,0,0.000000
1781135454.792413,0.000993131,0,0,0.000000
1781135454.793358,0.001003794,0,0,0.000000
1781135454.794371,0.000999735,0,0,0.000000
1781135454.795438,0.000996853,0,0,0.000000
1781135454.796365,0.001003873,0,0,0.000000
1781135454.797338,0.000994943,0,0,0.000000
1781135454.798441,0.001000202,0,0,0.000000
1781135454.799352,0.001000614,0,0,0.000000
1781135454.800391,0.001009997,0,0,0.000000
1781135454.801377,0.000996685,0,0,0.000000
1781135454.802367,0.001001372,27842,5,222.430825
1781135454.803988,0.001004555,77920,18,620.533470
1781135454.805190,0.000998035,71876,14,576.140115
1781135454.805395,0.000997209,82470,19,661.606544
1781135454.806581,0.001003972,88200,20,702.808445
1781135454.807434,0.000987571,79380,18,643.032248
1781135454.808437,0.001012934,58844,14,464.741039
1781135454.809444,0.000993904,58778,13,473.108067
1781135454.811098,0.001007108,64702,15,513.962753
1781135454.811422,0.000992897,57330,13,461.921025
1781135454.812400,0.001002287,58778,13,469.151052
1781135454.813425,0.001001925,60160,12,480.355316
1781135454.814769,0.000991222,67796,18,547.171068
1781135454.815383,0.001001796,60094,11,479.890117
1781135454.816355,0.001001664,63188,14,504.664239
