line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
2,333828.855343,1,10,7240,14480,192.168.88.253,49968,469,,slow_start,
3,333828.857838,100,44,293944,333040,192.168.88.253,49968,466,,slow_start,
4,333828.860828,200,44,644360,700832,192.168.88.253,49968,359,,slow_start,
5,333828.865460,300,44,1184464,1235144,192.168.88.253,49968,492,,slow_start,
6,333828.869276,370,28,1594248,1642032,192.168.88.253,49968,770,,fast_retransmit,
7,333828.869622,375,22,1647824,1672440,192.168.88.253,49968,209,,congestion_avoidance,
8,333828.871552,400,26,1824480,1850544,192.168.88.253,49968,221,,congestion_avoidance,
9,333828.878005,500,41,2575992,2628120,192.168.88.253,49968,365,,congestion_avoidance,
10,333828.883596,600,44,3233384,3291304,192.168.88.253,49968,399,,congestion_avoidance,
11,333828.890015,700,44,3992136,4038472,192.168.88.253,49968,452,,congestion_avoidance,
12,333828.895986,800,44,4691520,4747992,192.168.88.253,49968,376,,congestion_avoidance,
13,333828.902352,900,44,5441584,5495160,192.168.88.253,49968,451,,congestion_avoidance,
14,333828.907956,1000,44,6098976,6155448,192.168.88.253,49968,437,,congestion_avoidance,
15,333828.913039,1100,44,6678176,6741888,192.168.88.253,49968,339,,congestion_avoidance,
16,333828.913070,1101,36,6678176,6741888,192.168.88.253,49968,372,,fast_retransmit,
17,333828.913596,1107,22,6752024,6776640,192.168.88.253,49968,217,,congestion_avoidance,
18,333828.919031,1200,36,7377560,7426792,192.168.88.253,49968,425,,congestion_avoidance,
19,333828.924539,1300,44,8026264,8076944,192.168.88.253,49968,360,,congestion_avoidance,
20,333828.930154,1400,44,8686552,8741576,192.168.88.253,49968,491,,congestion_avoidance,
21,333828.935266,1500,44,9287472,9336704,192.168.88.253,49968,510,,congestion_avoidance,
22,333828.940841,1600,44,9944864,10008576,192.168.88.253,49968,448,,congestion_avoidance,
23,333828.945645,1700,44,10509584,10567504,192.168.88.253,49968,502,,congestion_avoidance,
24,333828.950248,1800,44,11051136,11103264,192.168.88.253,49968,492,,congestion_avoidance,
25,333828.954697,1900,44,11573864,11640472,192.168.88.253,49968,391,,congestion_avoidance,
26,333828.960085,2000,44,12186368,12251528,192.168.88.253,49968,490,,congestion_avoidance,
27,333828.960895,2020,43,12276144,12347096,192.168.88.253,49968,365,,fast_retransmit,
28,333828.961461,2026,22,12342752,12380400,192.168.88.253,49968,471,,congestion_avoidance,
29,333828.964565,2100,30,12703304,12752536,192.168.88.253,49968,324,,congestion_avoidance,
30,333828.970006,2200,42,13305672,13366488,192.168.88.253,49968,402,,congestion_avoidance,
31,333828.975810,2300,44,13961616,14031120,192.168.88.253,49968,350,,congestion_avoidance,
32,333828.980150,2394,42,14455384,14530680,192.168.88.253,49968,406,,fast_retransmit,
33,333828.980664,2399,22,14527784,14555296,192.168.88.253,49968,391,,congestion_avoidance,
34,333828.980692,2400,22,14530680,14569776,192.168.88.253,49968,421,,congestion_avoidance,
35,333828.985347,2500,34,15073680,15125808,192.168.88.253,49968,371,,congestion_avoidance,
36,333828.989785,2600,43,15593512,15654328,192.168.88.253,49968,509,,congestion_avoidance,
37,333828.994394,2700,44,16136512,16188640,192.168.88.253,49968,510,,congestion_avoidance,
38,333828.998691,2800,44,16640416,16711368,192.168.88.253,49968,553,,congestion_avoidance,
39,333829.002886,2900,44,17135632,17184864,192.168.88.253,49968,540,,congestion_avoidance,
40,333829.006590,3000,44,17572928,17642432,192.168.88.253,49968,536,,congestion_avoidance,
41,333829.012366,3100,44,18220184,18270864,192.168.88.253,49968,462,,congestion_avoidance,
42,333829.014148,3113,42,18354848,18431592,192.168.88.253,49968,672,,fast_retransmit,
43,333829.014487,3119,22,18427248,18460552,192.168.88.253,49968,217,,congestion_avoidance,
44,333829.018460,3200,32,18848616,18900744,192.168.88.253,49968,321,,congestion_avoidance,
45,333829.022202,3300,41,19291704,19348176,192.168.88.253,49968,475,,congestion_avoidance,
46,333829.025901,3400,44,19726104,19786920,192.168.88.253,49968,498,,congestion_avoidance,
47,333829.029223,3500,44,20117064,20174984,192.168.88.253,49968,498,,congestion_avoidance,
48,333829.032604,3600,44,20515264,20570288,192.168.88.253,49968,467,,congestion_avoidance,
49,333829.035985,3700,44,20913464,20969936,192.168.88.253,49968,343,,congestion_avoidance,
50,333829.039353,3800,44,21310216,21379720,192.168.88.253,49968,400,,congestion_avoidance,
51,333829.042697,3900,44,21702624,21757648,192.168.88.253,49968,528,,congestion_avoidance,
52,333829.046038,4000,44,22093584,22154400,192.168.88.253,49968,531,,congestion_avoidance,
53,333829.049675,4045,36,22449792,22525088,192.168.88.253,49968,544,,fast_retransmit,
54,333829.050167,4051,22,22526536,22555496,192.168.88.253,49968,210,,congestion_avoidance,
55,333829.052486,4100,28,22749528,22787176,192.168.88.253,49968,295,,congestion_avoidance,
56,333829.057837,4200,40,23325832,23395336,192.168.88.253,49968,399,,congestion_avoidance,
57,333829.061426,4300,44,23748648,23812360,192.168.88.253,49968,469,,congestion_avoidance,
58,333829.065249,4400,44,24197528,24272824,192.168.88.253,49968,425,,congestion_avoidance,
59,333829.069156,4500,44,24659440,24723152,192.168.88.253,49968,438,,congestion_avoidance,
60,333829.073005,4600,44,25112664,25180720,192.168.88.253,49968,386,,congestion_avoidance,
61,333829.077058,4700,44,25590504,25657112,192.168.88.253,49968,440,,congestion_avoidance,
62,333829.080832,4800,44,26033592,26092960,192.168.88.253,49968,489,,congestion_avoidance,
63,333829.084653,4900,44,26483920,26553424,192.168.88.253,49968,404,,congestion_avoidance,
64,333829.088465,5000,44,26931352,26990720,192.168.88.253,49968,471,,congestion_avoidance,
65,333829.092200,5100,44,27370096,27445392,192.168.88.253,49968,413,,congestion_avoidance,
66,333829.096074,5200,44,27826216,27881240,192.168.88.253,49968,391,,congestion_avoidance,
67,333829.099959,5300,44,28286680,28357632,192.168.88.253,49968,381,,congestion_avoidance,
68,333829.102923,5400,44,28634200,28708048,192.168.88.253,49968,378,,congestion_avoidance,
69,333829.105929,5500,44,28988960,29064256,192.168.88.253,49968,535,,congestion_avoidance,
70,333829.108765,5600,44,29322000,29392952,192.168.88.253,49968,371,,congestion_avoidance,
71,333829.111853,5700,44,29686896,29753504,192.168.88.253,49968,490,,congestion_avoidance,
72,333829.115032,5800,44,30060480,30121296,192.168.88.253,49968,518,,congestion_avoidance,
73,333829.117952,5900,44,30403656,30473160,192.168.88.253,49968,425,,congestion_avoidance,
74,333829.120899,6000,44,30749728,30811992,192.168.88.253,49968,343,,congestion_avoidance,
75,333829.123970,6100,44,31110280,31179784,192.168.88.253,49968,458,,congestion_avoidance,
76,333829.126826,6200,44,31447664,31509928,192.168.88.253,49968,500,,congestion_avoidance,
77,333829.129816,6300,44,31800976,31869032,192.168.88.253,49968,472,,congestion_avoidance,
78,333829.132922,6400,44,32162976,32238272,192.168.88.253,49968,553,,congestion_avoidance,
79,333829.135816,6500,44,32504704,32568416,192.168.88.253,49968,469,,congestion_avoidance,
80,333829.138937,6600,44,32872496,32942000,192.168.88.253,49968,426,,congestion_avoidance,
81,333829.142152,6700,44,33251872,33315584,192.168.88.253,49968,457,,congestion_avoidance,
82,333829.145177,6800,44,33606632,33670344,192.168.88.253,49968,505,,congestion_avoidance,
83,333829.148171,6900,44,33959944,34025104,192.168.88.253,49968,447,,congestion_avoidance,
84,333829.151079,7000,44,34300224,34374072,192.168.88.253,49968,378,,congestion_avoidance,
85,333829.154104,7100,44,34657880,34730280,192.168.88.253,49968,437,,congestion_avoidance,
