[355718.109256] perf: interrupt took too long (4959 > 4945), lowering kernel.perf_event_max_sample_rate to 40250
[356888.835626] audit: type=1400 audit(1781020376.256:155): apparmor="DENIED" operation="open" profile="snap.docker.docker" name="/proc/1749866/mountinfo" pid=1749866 comm="docker" requested_mask="r" denied_mask="r" fsuid=1000 ouid=1000
[374239.106282] TCP: my_cca: seq=209 cwnd=6 rtt=258 bytes_acked=576388 bytes_sent=664716 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.106539] TCP: my_cca: seq=212 cwnd=3 rtt=115 bytes_acked=585076 bytes_sent=671956 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.107159] TCP: my_cca: seq=218 cwnd=6 rtt=287 bytes_acked=602452 bytes_sent=693676 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.107377] TCP: my_cca: seq=221 cwnd=3 rtt=127 bytes_acked=609692 bytes_sent=700916 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.108039] TCP: my_cca: seq=228 cwnd=6 rtt=202 bytes_acked=629964 bytes_sent=724084 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.108257] TCP: my_cca: seq=231 cwnd=3 rtt=132 bytes_acked=635756 bytes_sent=731324 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.108899] TCP: my_cca: seq=238 cwnd=6 rtt=270 bytes_acked=654580 bytes_sent=753044 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.109155] TCP: my_cca: seq=241 cwnd=3 rtt=109 bytes_acked=663268 bytes_sent=760284 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.109996] TCP: my_cca: seq=251 cwnd=7 rtt=160 bytes_acked=687884 bytes_sent=793588 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.110282] TCP: my_cca: seq=255 cwnd=3 rtt=115 bytes_acked=696572 bytes_sent=799380 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.110842] TCP: my_cca: seq=263 cwnd=6 rtt=196 bytes_acked=713948 bytes_sent=825444 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.111161] TCP: my_cca: seq=267 cwnd=3 rtt=133 bytes_acked=722636 bytes_sent=832684 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.111804] TCP: my_cca: seq=274 cwnd=6 rtt=278 bytes_acked=741460 bytes_sent=854404 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.112052] TCP: my_cca: seq=277 cwnd=3 rtt=105 bytes_acked=750148 bytes_sent=861644 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.112549] TCP: my_cca: seq=283 cwnd=6 rtt=170 bytes_acked=766076 bytes_sent=883364 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.112908] TCP: my_cca: seq=287 cwnd=3 rtt=134 bytes_acked=774764 bytes_sent=890604 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.113561] TCP: my_cca: seq=294 cwnd=6 rtt=198 bytes_acked=795036 bytes_sent=918116 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.113779] TCP: my_cca: seq=297 cwnd=3 rtt=131 bytes_acked=800828 bytes_sent=925356 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.113996] TCP: my_cca: seq=300 cwnd=4 rtt=126 bytes_acked=808068 bytes_sent=932596 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.114422] TCP: my_cca: seq=304 cwnd=6 rtt=267 bytes_acked=819652 bytes_sent=947076 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.114676] TCP: my_cca: seq=307 cwnd=3 rtt=110 bytes_acked=828340 bytes_sent=954316 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.115160] TCP: my_cca: seq=314 cwnd=6 rtt=160 bytes_acked=844268 bytes_sent=976036 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.115519] TCP: my_cca: seq=318 cwnd=3 rtt=133 bytes_acked=852956 bytes_sent=983276 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.116177] TCP: my_cca: seq=325 cwnd=6 rtt=206 bytes_acked=873228 bytes_sent=1010788 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.116388] TCP: my_cca: seq=328 cwnd=3 rtt=125 bytes_acked=879020 bytes_sent=1018028 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.117035] TCP: my_cca: seq=335 cwnd=6 rtt=279 bytes_acked=897844 bytes_sent=1039748 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.117282] TCP: my_cca: seq=338 cwnd=3 rtt=106 bytes_acked=906532 bytes_sent=1046988 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.117784] TCP: my_cca: seq=344 cwnd=6 rtt=181 bytes_acked=922460 bytes_sent=1068708 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.118132] TCP: my_cca: seq=348 cwnd=3 rtt=126 bytes_acked=931148 bytes_sent=1075948 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.118799] TCP: my_cca: seq=356 cwnd=6 rtt=209 bytes_acked=951420 bytes_sent=1103460 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.119029] TCP: my_cca: seq=359 cwnd=3 rtt=145 bytes_acked=957212 bytes_sent=1110700 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.119658] TCP: my_cca: seq=366 cwnd=6 rtt=275 bytes_acked=976036 bytes_sent=1135316 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.119915] TCP: my_cca: seq=369 cwnd=3 rtt=109 bytes_acked=984724 bytes_sent=1142556 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.120391] TCP: my_cca: seq=375 cwnd=6 rtt=174 bytes_acked=1000652 bytes_sent=1164276 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.120752] TCP: my_cca: seq=379 cwnd=3 rtt=130 bytes_acked=1009340 bytes_sent=1171516 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.121412] TCP: my_cca: seq=387 cwnd=6 rtt=210 bytes_acked=1029612 bytes_sent=1199028 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.121623] TCP: my_cca: seq=390 cwnd=3 rtt=127 bytes_acked=1035404 bytes_sent=1206268 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.122270] TCP: my_cca: seq=397 cwnd=6 rtt=282 bytes_acked=1054228 bytes_sent=1227988 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.122525] TCP: my_cca: seq=400 cwnd=3 rtt=113 bytes_acked=1062916 bytes_sent=1235228 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.123018] TCP: my_cca: seq=406 cwnd=6 rtt=181 bytes_acked=1078844 bytes_sent=1256948 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.123413] TCP: my_cca: seq=410 cwnd=3 rtt=113 bytes_acked=1088980 bytes_sent=1264188 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.124014] TCP: my_cca: seq=417 cwnd=6 rtt=219 bytes_acked=1106356 bytes_sent=1288804 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.124268] TCP: my_cca: seq=420 cwnd=3 rtt=110 bytes_acked=1115044 bytes_sent=1296044 phase=congestion_avoidance Destination: 192.168.88.253:36366
