line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
1,290297.005498,1,10,7240,14480,192.168.88.253,38560,503,,slow_start,
2,290297.007931,31,9,102808,118736,192.168.88.253,38560,342,,loss_recovery,
3,290297.008147,36,4,112944,124528,192.168.88.253,38560,178,,congestion_avoidance,
4,290297.009962,72,9,165072,189688,192.168.88.253,38560,334,,loss_recovery,
5,290297.010265,79,4,175208,192584,192.168.88.253,38560,390,,congestion_avoidance,
6,290297.011281,100,7,205616,227336,192.168.88.253,38560,245,,congestion_avoidance,
7,290297.017986,166,9,405440,427160,192.168.88.253,38560,271,,loss_recovery,
8,290297.018227,170,4,414128,432952,192.168.88.253,38560,148,,congestion_avoidance,
9,290297.019828,200,8,461912,489424,192.168.88.253,38560,315,,congestion_avoidance,
10,290297.020658,211,9,485080,514040,192.168.88.253,38560,409,,loss_recovery,
11,290297.021052,216,4,496664,521280,192.168.88.253,38560,105,,congestion_avoidance,
12,290297.023498,245,9,569064,603816,192.168.88.253,38560,341,,loss_recovery,
13,290297.023856,250,4,582096,609608,192.168.88.253,38560,153,,congestion_avoidance,
14,290297.028488,300,9,718208,757304,192.168.88.253,38560,325,,loss_recovery,
15,290297.028763,304,4,729792,765992,192.168.88.253,38560,101,,congestion_avoidance,
16,290297.030926,328,9,792056,835496,192.168.88.253,38560,285,,loss_recovery,
17,290297.031297,333,4,803640,842736,192.168.88.253,38560,104,,congestion_avoidance,
18,290297.037045,400,9,975952,1025184,192.168.88.253,38560,348,,congestion_avoidance,
19,290297.039017,421,9,1032424,1080208,192.168.88.253,38560,378,,loss_recovery,
20,290297.039295,425,4,1044008,1088896,192.168.88.253,38560,101,,congestion_avoidance,
21,290297.044291,479,9,1190256,1242384,192.168.88.253,38560,351,,loss_recovery,
22,290297.044659,483,4,1203288,1251072,192.168.88.253,38560,112,,congestion_avoidance,
23,290297.046172,500,7,1248176,1300304,192.168.88.253,38560,234,,congestion_avoidance,
24,290297.047390,515,9,1282928,1342296,192.168.88.253,38560,394,,loss_recovery,
25,290297.047728,520,4,1295960,1348088,192.168.88.253,38560,181,,congestion_avoidance,
26,290297.050681,554,9,1382840,1442208,192.168.88.253,38560,380,,loss_recovery,
27,290297.051115,559,4,1394424,1449448,192.168.88.253,38560,110,,congestion_avoidance,
28,290297.054966,600,9,1510264,1569632,192.168.88.253,38560,389,,congestion_avoidance,
29,290297.058145,636,9,1604384,1668096,192.168.88.253,38560,389,,loss_recovery,
30,290297.058431,640,4,1615968,1676784,192.168.88.253,38560,108,,congestion_avoidance,
31,290297.060563,664,9,1678232,1746288,192.168.88.253,38560,285,,loss_recovery,
32,290297.060944,669,4,1689816,1753528,192.168.88.253,38560,102,,congestion_avoidance,
33,290297.063484,700,9,1766560,1840408,192.168.88.253,38560,382,,congestion_avoidance,
34,290297.063667,701,9,1769456,1843304,192.168.88.253,38560,338,,loss_recovery,
35,290297.064006,705,4,1782488,1849096,192.168.88.253,38560,121,,congestion_avoidance,
36,290297.066527,733,9,1854888,1934528,192.168.88.253,38560,392,,loss_recovery,
37,290297.066868,738,4,1867920,1940320,192.168.88.253,38560,186,,congestion_avoidance,
38,290297.072396,799,9,2030096,2109736,192.168.88.253,38560,345,,loss_recovery,
39,290297.072433,800,5,2032992,2109736,192.168.88.253,38560,383,,loss_recovery,
40,290297.072718,803,4,2041680,2116976,192.168.88.253,38560,124,,congestion_avoidance,
41,290297.075053,830,9,2109736,2195168,192.168.88.253,38560,338,,loss_recovery,
42,290297.075417,834,4,2122768,2200960,192.168.88.253,38560,118,,congestion_avoidance,
43,290297.077573,858,9,2185032,2270464,192.168.88.253,38560,289,,loss_recovery,
44,290297.077906,863,4,2198064,2276256,192.168.88.253,38560,119,,congestion_avoidance,
45,290297.080622,893,9,2276256,2364584,192.168.88.253,38560,388,,loss_recovery,
46,290297.080875,896,4,2286392,2370376,192.168.88.253,38560,117,,congestion_avoidance,
47,290297.081330,900,5,2297976,2384856,192.168.88.253,38560,121,,congestion_avoidance,
48,290297.088334,973,9,2506488,2600608,192.168.88.253,38560,388,,loss_recovery,
49,290297.088657,977,4,2518072,2607848,192.168.88.253,38560,109,,congestion_avoidance,
50,290297.090777,1000,8,2580336,2677352,192.168.88.253,38560,406,,congestion_avoidance,
51,290297.091823,1014,9,2612192,2710656,192.168.88.253,38560,385,,loss_recovery,
52,290297.092251,1019,4,2623776,2717896,192.168.88.253,38560,118,,congestion_avoidance,
53,290297.096425,1062,9,2748304,2851112,192.168.88.253,38560,335,,loss_recovery,
54,290297.096747,1066,4,2759888,2858352,192.168.88.253,38560,107,,congestion_avoidance,
55,290297.098894,1089,9,2822152,2929304,192.168.88.253,38560,333,,loss_recovery,
56,290297.099175,1092,4,2832288,2937992,192.168.88.253,38560,160,,congestion_avoidance,
57,290297.099924,1100,6,2855456,2962608,192.168.88.253,38560,188,,congestion_avoidance,
58,290297.104957,1158,9,3003152,3116096,192.168.88.253,38560,336,,loss_recovery,
59,290297.105279,1162,4,3014736,3123336,192.168.88.253,38560,110,,congestion_avoidance,
60,290297.108782,1200,9,3118992,3237728,192.168.88.253,38560,388,,congestion_avoidance,
61,290297.110911,1226,9,3182704,3299992,192.168.88.253,38560,385,,loss_recovery,
62,290297.111337,1231,4,3194288,3307232,192.168.88.253,38560,112,,congestion_avoidance,
63,290297.113720,1256,9,3265240,3386872,192.168.88.253,38560,325,,loss_recovery,
64,290297.114082,1261,4,3278272,3395560,192.168.88.253,38560,150,,congestion_avoidance,
65,290297.117402,1300,9,3376736,3501264,192.168.88.253,38560,379,,congestion_avoidance,
66,290297.121182,1341,9,3488232,3612760,192.168.88.253,38560,357,,loss_recovery,
67,290297.121505,1345,4,3499816,3620000,192.168.88.253,38560,114,,congestion_avoidance,
