line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
1,208864.541750,1,10,1448,52128,192.168.88.253,53164,456,,loss_recovery,
2,208864.541973,2,5,4344,57920,192.168.88.253,53164,208,,congestion_avoidance,
3,208864.543147,13,10,57920,115840,192.168.88.253,53164,215,,loss_recovery,
4,208864.543501,15,5,65160,125976,192.168.88.253,53164,128,,congestion_avoidance,
5,208864.544874,45,10,163624,231680,192.168.88.253,53164,165,,loss_recovery,
6,208864.545076,48,5,172312,241816,192.168.88.253,53164,139,,congestion_avoidance,
7,208864.547473,98,10,344624,419920,192.168.88.253,53164,141,,loss_recovery,
8,208864.547603,100,5,350416,427160,192.168.88.253,53164,119,,loss_recovery,
9,208864.547689,101,5,354760,430056,192.168.88.253,53164,120,,congestion_avoidance,
10,208864.548651,119,10,417024,499560,192.168.88.253,53164,184,,loss_recovery,
11,208864.548809,122,5,425712,509696,192.168.88.253,53164,111,,congestion_avoidance,
12,208864.549769,142,11,490872,579200,192.168.88.253,53164,126,,loss_recovery,
13,208864.549939,145,5,498112,589336,192.168.88.253,53164,132,,congestion_avoidance,
14,208864.551110,168,10,576304,673320,192.168.88.253,53164,158,,loss_recovery,
15,208864.551281,171,5,584992,683456,192.168.88.253,53164,115,,congestion_avoidance,
16,208864.552049,187,10,635672,738480,192.168.88.253,53164,148,,loss_recovery,
17,208864.552219,190,5,642912,748616,192.168.88.253,53164,111,,congestion_avoidance,
18,208864.552717,200,8,668976,779024,192.168.88.253,53164,138,,congestion_avoidance,
19,208864.553643,223,10,745720,876040,192.168.88.253,53164,145,,loss_recovery,
20,208864.553826,225,5,751512,886176,192.168.88.253,53164,126,,congestion_avoidance,
21,208864.555972,271,10,902104,1042560,192.168.88.253,53164,135,,loss_recovery,
22,208864.556144,274,5,910792,1052696,192.168.88.253,53164,114,,congestion_avoidance,
23,208864.557508,300,10,1003464,1149712,192.168.88.253,53164,151,,congestion_avoidance,
24,208864.558112,313,10,1049800,1216320,192.168.88.253,53164,117,,loss_recovery,
25,208864.558346,315,5,1055592,1226456,192.168.88.253,53164,103,,congestion_avoidance,
26,208864.559325,334,10,1122200,1317680,192.168.88.253,53164,148,,loss_recovery,
27,208864.559564,336,5,1127992,1327816,192.168.88.253,53164,105,,congestion_avoidance,
28,208864.561703,379,10,1280032,1484200,192.168.88.253,53164,126,,loss_recovery,
