line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
1,306218.325501,1,10,1448,14480,192.168.88.253,38810,255,,slow_start,
2,306218.326517,34,31,66608,110048,192.168.88.253,38810,351,,loss_recovery,
3,306218.327207,52,15,101360,136112,192.168.88.253,38810,401,,congestion_avoidance,
4,306218.328655,100,18,189688,225888,192.168.88.253,38810,403,,congestion_avoidance,
5,306218.330817,171,23,348968,395304,192.168.88.253,38810,368,,loss_recovery,
6,306218.331269,178,11,373584,414128,192.168.88.253,38810,279,,congestion_avoidance,
7,306218.332402,200,14,440192,485080,192.168.88.253,38810,337,,congestion_avoidance,
8,306218.334563,248,20,574856,626984,192.168.88.253,38810,354,,loss_recovery,
9,306218.334961,255,10,595128,641464,192.168.88.253,38810,279,,congestion_avoidance,
10,306218.336939,300,16,712416,764544,192.168.88.253,38810,231,,congestion_avoidance,
11,306218.339701,359,22,881832,949888,192.168.88.253,38810,527,,loss_recovery,
12,306218.340154,367,11,903552,968712,192.168.88.253,38810,313,,congestion_avoidance,
13,306218.342022,400,16,1004912,1072968,192.168.88.253,38810,292,,congestion_avoidance,
14,306218.344475,447,22,1167088,1248176,192.168.88.253,38810,435,,loss_recovery,
15,306218.345150,454,11,1187360,1262656,192.168.88.253,38810,543,,congestion_avoidance,
16,306218.347943,500,16,1322024,1404560,192.168.88.253,38810,335,,congestion_avoidance,
17,306218.350586,564,22,1508816,1618864,192.168.88.253,38810,312,,loss_recovery,
18,306218.350991,570,11,1526192,1618864,192.168.88.253,38810,474,,congestion_avoidance,
19,306218.352837,600,15,1613072,1710088,192.168.88.253,38810,258,,congestion_avoidance,
20,306218.354783,646,21,1754976,1878056,192.168.88.253,38810,447,,loss_recovery,
21,306218.355115,652,10,1775248,1878056,192.168.88.253,38810,374,,congestion_avoidance,
22,306218.357285,700,17,1911360,2021408,192.168.88.253,38810,222,,congestion_avoidance,
23,306218.358913,722,20,2005480,2127112,192.168.88.253,38810,476,,loss_recovery,
24,306218.359269,727,10,2024304,2140144,192.168.88.253,38810,234,,congestion_avoidance,
25,306218.363997,793,22,2313904,2451464,192.168.88.253,38810,308,,loss_recovery,
26,306218.364553,798,11,2342864,2470288,192.168.88.253,38810,229,,congestion_avoidance,
27,306218.364754,800,12,2348656,2484768,192.168.88.253,38810,301,,congestion_avoidance,
28,306218.369333,862,23,2623776,2775816,192.168.88.253,38810,552,,loss_recovery,
29,306218.369814,867,11,2649840,2794640,192.168.88.253,38810,316,,congestion_avoidance,
30,306218.371834,900,17,2774368,2926408,192.168.88.253,38810,237,,congestion_avoidance,
31,306218.373836,929,21,2900344,3061072,192.168.88.253,38810,437,,loss_recovery,
32,306218.374293,933,10,2922064,3075552,192.168.88.253,38810,159,,congestion_avoidance,
33,306218.377672,990,19,3127680,3299992,192.168.88.253,38810,386,,loss_recovery,
34,306218.378185,994,9,3152296,3315920,192.168.88.253,38810,234,,congestion_avoidance,
35,306218.378565,1000,10,3169672,3336192,192.168.88.253,38810,227,,congestion_avoidance,
36,306218.381846,1050,20,3376736,3560632,192.168.88.253,38810,346,,loss_recovery,
37,306218.382231,1055,10,3395560,3578008,192.168.88.253,38810,255,,congestion_avoidance,
38,306218.384275,1100,17,3525880,3718464,192.168.88.253,38810,388,,congestion_avoidance,
39,306218.387242,1160,23,3693848,3895120,192.168.88.253,38810,577,,loss_recovery,
