# R_arrival samples from kprobe:tbf_enqueue
# interval_seconds=0.001000000
timestamp,interval_seconds,bytes,packets,r_arrival_mbit
# bpftrace: Attaching 2 probes...
1780876080.791247,0.001003448,0,0,0.000000
1780876080.791500,0.001001785,0,0,0.000000
1780876080.791626,0.001002012,0,0,0.000000
1780876080.791692,0.000997894,0,0,0.000000
1780876080.791821,0.000993685,0,0,0.000000
1780876080.791905,0.001008695,0,0,0.000000
1780876080.791979,0.001003317,0,0,0.000000
1780876080.792024,0.000998016,0,0,0.000000
1780876080.792099,0.000992345,0,0,0.000000
1780876080.792161,0.000999695,0,0,0.000000
1780876080.792224,0.000997692,0,0,0.000000
1780876080.792281,0.001003857,0,0,0.000000
1780876080.792334,0.000997442,0,0,0.000000
1780876080.792413,0.001000091,0,0,0.000000
1780876080.792493,0.001001364,0,0,0.000000
1780876080.792584,0.000996699,0,0,0.000000
1780876080.792668,0.001000556,0,0,0.000000
1780876080.792734,0.001010872,0,0,0.000000
1780876080.792782,0.000993908,0,0,0.000000
1780876080.792847,0.000995206,0,0,0.000000
1780876080.792925,0.000999041,0,0,0.000000
1780876080.792984,0.001000331,0,0,0.000000
1780876080.793049,0.001006455,0,0,0.000000
1780876080.793110,0.001002573,0,0,0.000000
1780876080.793174,0.001001209,0,0,0.000000
1780876080.793253,0.000998908,0,0,0.000000
1780876080.793300,0.000990722,0,0,0.000000
1780876080.793382,0.001000488,0,0,0.000000
1780876080.793429,0.001013604,0,0,0.000000
1780876080.793513,0.000994344,0,0,0.000000
1780876080.793619,0.001000212,0,0,0.000000
1780876080.793680,0.000996552,0,0,0.000000
1780876080.793760,0.001003462,0,0,0.000000
1780876080.793841,0.000996715,0,0,0.000000
1780876080.793905,0.000998601,0,0,0.000000
1780876080.793985,0.001010235,0,0,0.000000
1780876080.794048,0.000985210,0,0,0.000000
1780876080.794097,0.001000082,0,0,0.000000
1780876080.794175,0.001001138,0,0,0.000000
1780876080.794240,0.001009898,0,0,0.000000
1780876080.794307,0.000991781,0,0,0.000000
