# R_arrival samples from kprobe:tbf_enqueue
# interval_seconds=0.001000000
timestamp,interval_seconds,bytes,packets,r_arrival_mbit
# bpftrace: Attaching 2 probes...
1779292418.363881,0.001017272,0,0,0.000000
1779292418.363978,0.000995967,0,0,0.000000
1779292418.364006,0.001004816,0,0,0.000000
1779292418.364022,0.000998495,0,0,0.000000
1779292418.364039,0.001000830,0,0,0.000000
1779292418.364054,0.001001032,0,0,0.000000
1779292418.364070,0.000998277,0,0,0.000000
1779292418.364088,0.001000216,0,0,0.000000
1779292418.364107,0.001000927,0,0,0.000000
1779292418.364123,0.001000895,0,0,0.000000
1779292418.364138,0.001002955,0,0,0.000000
1779292418.364156,0.000995932,0,0,0.000000
1779292418.364175,0.000998730,0,0,0.000000
1779292418.364192,0.000997428,0,0,0.000000
1779292418.364208,0.001004061,0,0,0.000000
1779292418.364223,0.000999620,0,0,0.000000
1779292418.364237,0.001000348,0,0,0.000000
1779292418.364252,0.000995167,0,0,0.000000
1779292418.364270,0.001005913,0,0,0.000000
1779292418.364305,0.000998277,0,0,0.000000
1779292418.364323,0.001000026,0,0,0.000000
1779292418.364338,0.000995455,0,0,0.000000
1779292418.364355,0.001005401,0,0,0.000000
1779292418.364373,0.000998912,0,0,0.000000
1779292418.364389,0.001000163,0,0,0.000000
1779292418.364404,0.000996082,0,0,0.000000
1779292418.364420,0.001003714,0,0,0.000000
1779292418.364435,0.001000580,0,0,0.000000
1779292418.364454,0.001000143,0,0,0.000000
1779292418.364470,0.000994949,0,0,0.000000
1779292418.364484,0.001004683,0,0,0.000000
1779292418.364499,0.001001717,0,0,0.000000
1779292418.364514,0.000997996,0,0,0.000000
1779292418.364531,0.000995616,0,0,0.000000
1779292418.364550,0.001004537,0,0,0.000000
1779292418.364565,0.000999712,0,0,0.000000
1779292418.364580,0.001001365,0,0,0.000000
1779292418.364595,0.000995969,0,0,0.000000
1779292418.364621,0.001003300,0,0,0.000000
1779292418.364640,0.000999544,0,0,0.000000
1779292418.364657,0.001000069,0,0,0.000000
1779292418.364671,0.000995989,0,0,0.000000
1779292418.364690,0.001005535,0,0,0.000000
1779292418.364708,0.000998452,0,0,0.000000
1779292418.364727,0.001000400,0,0,0.000000
1779292418.364742,0.000994776,0,0,0.000000
1779292418.364757,0.001005386,0,0,0.000000
1779292418.364773,0.000999579,0,0,0.000000
1779292418.364791,0.000981012,0,0,0.000000
1779292418.364810,0.001000798,0,0,0.000000
1779292418.364891,0.001004216,0,0,0.000000
1779292418.365483,0.001000950,0,0,0.000000
1779292418.366503,0.001018683,0,0,0.000000
1779292418.367489,0.000980422,29224,4,238.460581
1779292418.368518,0.001000505,0,0,0.000000
1779292418.369574,0.001000534,0,0,0.000000
1779292418.370544,0.000998755,0,0,0.000000
1779292418.371514,0.001000726,0,0,0.000000
1779292418.372537,0.000999927,0,0,0.000000
1779292418.373539,0.001018459,0,0,0.000000
1779292418.374534,0.001000956,0,0,0.000000
1779292418.375541,0.000994033,0,0,0.000000
1779292418.376533,0.001005522,0,0,0.000000
1779292418.377549,0.001001396,0,0,0.000000
1779292418.378545,0.000998961,0,0,0.000000
1779292418.379532,0.000992953,0,0,0.000000
1779292418.380499,0.001006510,0,0,0.000000
1779292418.381505,0.000983423,0,0,0.000000
1779292418.382522,0.000998468,0,0,0.000000
1779292418.383512,0.001012518,0,0,0.000000
1779292418.384517,0.001005777,0,0,0.000000
1779292418.385519,0.001000329,0,0,0.000000
1779292418.386518,0.001000328,0,0,0.000000
1779292418.387516,0.000993030,0,0,0.000000
1779292418.388518,0.001006077,0,0,0.000000
1779292418.389520,0.000999923,0,0,0.000000
1779292418.390519,0.001000803,146,1,1.167063
1779292418.391520,0.000997094,0,0,0.000000
1779292418.392516,0.001001955,0,0,0.000000
1779292418.393519,0.001000510,0,0,0.000000
1779292418.394517,0.001000412,0,0,0.000000
1779292418.395508,0.000995789,0,0,0.000000
1779292418.396520,0.001004250,0,0,0.000000
1779292418.397525,0.001004230,0,0,0.000000
1779292418.398517,0.000995459,0,0,0.000000
1779292418.399508,0.000993528,0,0,0.000000
1779292418.400522,0.001006075,0,0,0.000000
1779292418.401519,0.001000838,0,0,0.000000
1779292418.402517,0.000998935,0,0,0.000000
1779292418.403504,0.000997992,0,0,0.000000
1779292418.404521,0.001003623,0,0,0.000000
1779292418.405550,0.001001533,0,0,0.000000
1779292418.406532,0.000997654,216,2,1.732063
1779292418.407501,0.000993732,0,0,0.000000
1779292418.408500,0.001006791,0,0,0.000000
1779292418.409498,0.000998660,0,0,0.000000
1779292418.410497,0.001000418,0,0,0.000000
1779292418.411500,0.000993990,0,0,0.000000
1779292418.412481,0.001005886,0,0,0.000000
1779292418.413639,0.001069714,0,0,0.000000
1779292418.414556,0.000933887,0,0,0.000000
1779292418.415547,0.000990879,0,0,0.000000
1779292418.416559,0.001006143,0,0,0.000000
1779292418.417559,0.000999354,0,0,0.000000
1779292418.418556,0.001001123,0,0,0.000000
1779292418.419551,0.000993291,0,0,0.000000
1779292418.420567,0.001005498,0,0,0.000000
1779292418.421553,0.000999986,0,0,0.000000
1779292418.422547,0.001001821,170,1,1.357528
1779292418.423549,0.000994644,0,0,0.000000
1779292418.424550,0.001004275,0,0,0.000000
1779292418.425549,0.000999475,0,0,0.000000
1779292418.426551,0.001003960,0,0,0.000000
1779292418.427535,0.000990733,0,0,0.000000
1779292418.428551,0.001005627,0,0,0.000000
1779292418.429548,0.001001111,0,0,0.000000
1779292418.430557,0.000998871,0,0,0.000000
1779292418.431543,0.000994363,0,0,0.000000
1779292418.432545,0.001005411,0,0,0.000000
1779292418.433558,0.001002068,0,0,0.000000
1779292418.434559,0.000998444,0,0,0.000000
1779292418.435539,0.000994709,0,0,0.000000
1779292418.436548,0.001004639,0,0,0.000000
1779292418.437542,0.001000922,0,0,0.000000
1779292418.438616,0.001004744,0,0,0.000000
1779292418.439561,0.000982437,0,0,0.000000
1779292418.440520,0.000992967,0,0,0.000000
1779292418.441533,0.001019203,0,0,0.000000
1779292418.442543,0.001000164,0,0,0.000000
1779292418.443547,0.000993791,0,0,0.000000
1779292418.444547,0.001006736,0,0,0.000000
1779292418.445555,0.000999145,0,0,0.000000
1779292418.446533,0.000999989,0,0,0.000000
1779292418.447538,0.000995258,0,0,0.000000
1779292418.448554,0.001005451,0,0,0.000000
1779292418.449538,0.000999600,0,0,0.000000
1779292418.450558,0.000999775,0,0,0.000000
1779292418.451546,0.000994777,0,0,0.000000
1779292418.452538,0.001005390,0,0,0.000000
1779292418.453547,0.000999779,0,0,0.000000
1779292418.454552,0.001000029,0,0,0.000000
1779292418.455548,0.000994053,0,0,0.000000
1779292418.456543,0.001006010,0,0,0.000000
1779292418.457535,0.000980425,0,0,0.000000
1779292418.458552,0.001019461,0,0,0.000000
1779292418.459547,0.000995231,0,0,0.000000
1779292418.460548,0.001004638,0,0,0.000000
1779292418.461535,0.001001146,0,0,0.000000
1779292418.462552,0.000999211,0,0,0.000000
1779292418.463538,0.000994783,0,0,0.000000
1779292418.464538,0.001005207,0,0,0.000000
1779292418.465552,0.000998950,0,0,0.000000
1779292418.466526,0.000999891,0,0,0.000000
1779292418.467528,0.000995394,0,0,0.000000
1779292418.468550,0.001005255,0,0,0.000000
1779292418.469553,0.000999650,0,0,0.000000
