[206115.574207] audit: type=1400 audit(1780869602.243:146): apparmor="DENIED" operation="capable" profile="/usr/sbin/cupsd" pid=137210 comm="cupsd" capability=12  capname="net_admin"
[208746.108428] TCP: my_cca: seq=3700 cwnd=18 rtt=141 bytes_acked=12098040 bytes_sent=12103832 phase=slow_start Destination: 192.168.88.253:42620
[208746.112947] TCP: my_cca: seq=3800 cwnd=18 rtt=122 bytes_acked=12380400 bytes_sent=12387640 phase=slow_start Destination: 192.168.88.253:42620
[208746.117292] TCP: my_cca: seq=3900 cwnd=18 rtt=108 bytes_acked=12662760 bytes_sent=12667104 phase=slow_start Destination: 192.168.88.253:42620
[208746.121445] TCP: my_cca: seq=4000 cwnd=18 rtt=119 bytes_acked=12939328 bytes_sent=12945120 phase=slow_start Destination: 192.168.88.253:42620
[208746.125661] TCP: my_cca: seq=4100 cwnd=18 rtt=130 bytes_acked=13220240 bytes_sent=13227480 phase=slow_start Destination: 192.168.88.253:42620
[208746.130114] TCP: my_cca: seq=4200 cwnd=18 rtt=119 bytes_acked=13509840 bytes_sent=13517080 phase=slow_start Destination: 192.168.88.253:42620
[208746.134255] TCP: my_cca: seq=4300 cwnd=18 rtt=138 bytes_acked=13782064 bytes_sent=13789304 phase=slow_start Destination: 192.168.88.253:42620
[208746.138660] TCP: my_cca: seq=4400 cwnd=18 rtt=162 bytes_acked=14068768 bytes_sent=14074560 phase=slow_start Destination: 192.168.88.253:42620
[208746.143731] TCP: my_cca: seq=4500 cwnd=18 rtt=118 bytes_acked=14372848 bytes_sent=14380088 phase=slow_start Destination: 192.168.88.253:42620
[208746.147807] TCP: my_cca: seq=4600 cwnd=18 rtt=116 bytes_acked=14650864 bytes_sent=14658104 phase=slow_start Destination: 192.168.88.253:42620
[208746.152494] TCP: my_cca: seq=4700 cwnd=18 rtt=149 bytes_acked=14936120 bytes_sent=14943360 phase=slow_start Destination: 192.168.88.253:42620
[208746.156499] TCP: my_cca: seq=4800 cwnd=18 rtt=151 bytes_acked=15204000 bytes_sent=15209792 phase=slow_start Destination: 192.168.88.253:42620
[208746.160476] TCP: my_cca: seq=4900 cwnd=18 rtt=128 bytes_acked=15479120 bytes_sent=15486360 phase=slow_start Destination: 192.168.88.253:42620
[208746.164572] TCP: my_cca: seq=5000 cwnd=18 rtt=138 bytes_acked=15758584 bytes_sent=15764376 phase=slow_start Destination: 192.168.88.253:42620
[208746.168491] TCP: my_cca: seq=5100 cwnd=18 rtt=146 bytes_acked=16019224 bytes_sent=16026464 phase=slow_start Destination: 192.168.88.253:42620
[208746.172811] TCP: my_cca: seq=5200 cwnd=18 rtt=109 bytes_acked=16300136 bytes_sent=16304480 phase=slow_start Destination: 192.168.88.253:42620
[208746.176777] TCP: my_cca: seq=5300 cwnd=18 rtt=117 bytes_acked=16565120 bytes_sent=16570912 phase=slow_start Destination: 192.168.88.253:42620
[208746.180567] TCP: my_cca: seq=5400 cwnd=18 rtt=102 bytes_acked=16815624 bytes_sent=16819968 phase=slow_start Destination: 192.168.88.253:42620
[208746.184942] TCP: my_cca: seq=5500 cwnd=18 rtt=111 bytes_acked=17089296 bytes_sent=17096536 phase=slow_start Destination: 192.168.88.253:42620
[208746.188783] TCP: my_cca: seq=5600 cwnd=18 rtt=135 bytes_acked=17352832 bytes_sent=17358624 phase=slow_start Destination: 192.168.88.253:42620
[208746.192565] TCP: my_cca: seq=5700 cwnd=18 rtt=139 bytes_acked=17607680 bytes_sent=17613472 phase=slow_start Destination: 192.168.88.253:42620
[208746.196611] TCP: my_cca: seq=5800 cwnd=18 rtt=115 bytes_acked=17877008 bytes_sent=17884248 phase=slow_start Destination: 192.168.88.253:42620
[208746.200656] TCP: my_cca: seq=5900 cwnd=18 rtt=151 bytes_acked=18150680 bytes_sent=18157920 phase=slow_start Destination: 192.168.88.253:42620
[208746.204429] TCP: my_cca: seq=6000 cwnd=18 rtt=150 bytes_acked=18405528 bytes_sent=18412768 phase=slow_start Destination: 192.168.88.253:42620
[208746.208604] TCP: my_cca: seq=6100 cwnd=18 rtt=123 bytes_acked=18676304 bytes_sent=18679200 phase=slow_start Destination: 192.168.88.253:42620
[208746.212767] TCP: my_cca: seq=6200 cwnd=18 rtt=130 bytes_acked=18936944 bytes_sent=18944184 phase=slow_start Destination: 192.168.88.253:42620
[208746.216664] TCP: my_cca: seq=6300 cwnd=18 rtt=99 bytes_acked=19197584 bytes_sent=19203376 phase=slow_start Destination: 192.168.88.253:42620
[208746.221242] TCP: my_cca: seq=6400 cwnd=18 rtt=114 bytes_acked=19472704 bytes_sent=19481392 phase=slow_start Destination: 192.168.88.253:42620
[208746.225269] TCP: my_cca: seq=6500 cwnd=18 rtt=126 bytes_acked=19743480 bytes_sent=19750720 phase=slow_start Destination: 192.168.88.253:42620
[208746.229147] TCP: my_cca: seq=6600 cwnd=18 rtt=121 bytes_acked=19996880 bytes_sent=20004120 phase=slow_start Destination: 192.168.88.253:42620
[208746.233485] TCP: my_cca: seq=6700 cwnd=18 rtt=127 bytes_acked=20251728 bytes_sent=20258968 phase=slow_start Destination: 192.168.88.253:42620
[208746.237250] TCP: my_cca: seq=6800 cwnd=18 rtt=119 bytes_acked=20512368 bytes_sent=20519608 phase=slow_start Destination: 192.168.88.253:42620
[208746.241143] TCP: my_cca: seq=6900 cwnd=18 rtt=110 bytes_acked=20770112 bytes_sent=20775904 phase=slow_start Destination: 192.168.88.253:42620
[208746.244741] TCP: my_cca: seq=7000 cwnd=18 rtt=102 bytes_acked=21020616 bytes_sent=21024960 phase=slow_start Destination: 192.168.88.253:42620
[208746.248921] TCP: my_cca: seq=7100 cwnd=18 rtt=128 bytes_acked=21269672 bytes_sent=21272568 phase=slow_start Destination: 192.168.88.253:42620
[208746.252756] TCP: my_cca: seq=7200 cwnd=18 rtt=126 bytes_acked=21530312 bytes_sent=21537552 phase=slow_start Destination: 192.168.88.253:42620
[208746.256673] TCP: my_cca: seq=7300 cwnd=18 rtt=124 bytes_acked=21785160 bytes_sent=21792400 phase=slow_start Destination: 192.168.88.253:42620
[208746.260677] TCP: my_cca: seq=7400 cwnd=18 rtt=101 bytes_acked=22050144 bytes_sent=22054488 phase=slow_start Destination: 192.168.88.253:42620
[208746.264368] TCP: my_cca: seq=7500 cwnd=18 rtt=136 bytes_acked=22297752 bytes_sent=22303544 phase=slow_start Destination: 192.168.88.253:42620
[208746.268755] TCP: my_cca: seq=7600 cwnd=18 rtt=125 bytes_acked=22555496 bytes_sent=22562736 phase=slow_start Destination: 192.168.88.253:42620
[208746.272349] TCP: my_cca: seq=7700 cwnd=18 rtt=116 bytes_acked=22810344 bytes_sent=22817584 phase=slow_start Destination: 192.168.88.253:42620
[208746.276174] TCP: my_cca: seq=7800 cwnd=18 rtt=142 bytes_acked=23073880 bytes_sent=23079672 phase=slow_start Destination: 192.168.88.253:42620
[208746.279708] TCP: my_cca: seq=7900 cwnd=18 rtt=137 bytes_acked=23321488 bytes_sent=23328728 phase=slow_start Destination: 192.168.88.253:42620
[208746.283814] TCP: my_cca: seq=8000 cwnd=18 rtt=139 bytes_acked=23582128 bytes_sent=23589368 phase=slow_start Destination: 192.168.88.253:42620
[208746.287393] TCP: my_cca: seq=8100 cwnd=18 rtt=127 bytes_acked=23831184 bytes_sent=23838424 phase=slow_start Destination: 192.168.88.253:42620
[208746.291244] TCP: my_cca: seq=8200 cwnd=18 rtt=146 bytes_acked=24087480 bytes_sent=24093272 phase=slow_start Destination: 192.168.88.253:42620
[208746.294922] TCP: my_cca: seq=8300 cwnd=18 rtt=141 bytes_acked=24340880 bytes_sent=24348120 phase=slow_start Destination: 192.168.88.253:42620
[208746.298555] TCP: my_cca: seq=8400 cwnd=18 rtt=151 bytes_acked=24589936 bytes_sent=24597176 phase=slow_start Destination: 192.168.88.253:42620
[208746.301982] TCP: my_cca: seq=8500 cwnd=18 rtt=142 bytes_acked=24834648 bytes_sent=24840440 phase=slow_start Destination: 192.168.88.253:42620
[208746.305567] TCP: my_cca: seq=8600 cwnd=18 rtt=133 bytes_acked=25088048 bytes_sent=25095288 phase=slow_start Destination: 192.168.88.253:42620
[208746.309388] TCP: my_cca: seq=8700 cwnd=18 rtt=113 bytes_acked=25340000 bytes_sent=25347240 phase=slow_start Destination: 192.168.88.253:42620
[208746.313029] TCP: my_cca: seq=8800 cwnd=18 rtt=99 bytes_acked=25593400 bytes_sent=25597744 phase=slow_start Destination: 192.168.88.253:42620
[208746.316690] TCP: my_cca: seq=8900 cwnd=18 rtt=137 bytes_acked=25845352 bytes_sent=25852592 phase=slow_start Destination: 192.168.88.253:42620
[208746.320819] TCP: my_cca: seq=9000 cwnd=18 rtt=112 bytes_acked=26095856 bytes_sent=26101648 phase=slow_start Destination: 192.168.88.253:42620
[208746.324401] TCP: my_cca: seq=9100 cwnd=18 rtt=101 bytes_acked=26346360 bytes_sent=26350704 phase=slow_start Destination: 192.168.88.253:42620
[208746.327855] TCP: my_cca: seq=9200 cwnd=18 rtt=106 bytes_acked=26593968 bytes_sent=26599760 phase=slow_start Destination: 192.168.88.253:42620
[208746.332050] TCP: my_cca: seq=9300 cwnd=18 rtt=141 bytes_acked=26860400 bytes_sent=26866192 phase=slow_start Destination: 192.168.88.253:42620
[208746.335954] TCP: my_cca: seq=9400 cwnd=18 rtt=101 bytes_acked=27128280 bytes_sent=27132624 phase=slow_start Destination: 192.168.88.253:42620
[208746.339856] TCP: my_cca: seq=9500 cwnd=18 rtt=89 bytes_acked=27393264 bytes_sent=27399056 phase=slow_start Destination: 192.168.88.253:42620
[208746.343454] TCP: my_cca: seq=9600 cwnd=18 rtt=107 bytes_acked=27645216 bytes_sent=27652456 phase=slow_start Destination: 192.168.88.253:42620
[208746.348205] TCP: my_cca: seq=9700 cwnd=18 rtt=202 bytes_acked=27913096 bytes_sent=27920336 phase=slow_start Destination: 192.168.88.253:42620
[208746.352144] TCP: my_cca: seq=9800 cwnd=18 rtt=156 bytes_acked=28169392 bytes_sent=28169392 phase=slow_start Destination: 192.168.88.253:42620
[208746.356790] TCP: my_cca: seq=9900 cwnd=18 rtt=162 bytes_acked=28447408 bytes_sent=28453200 phase=slow_start Destination: 192.168.88.253:42620
[208746.360768] TCP: my_cca: seq=10000 cwnd=18 rtt=120 bytes_acked=28710944 bytes_sent=28718184 phase=slow_start Destination: 192.168.88.253:42620
[208746.364525] TCP: my_cca: seq=10100 cwnd=18 rtt=103 bytes_acked=28970136 bytes_sent=28974480 phase=slow_start Destination: 192.168.88.253:42620
[208746.368148] TCP: my_cca: seq=10200 cwnd=18 rtt=138 bytes_acked=29216296 bytes_sent=29223536 phase=slow_start Destination: 192.168.88.253:42620
[208746.371960] TCP: my_cca: seq=10300 cwnd=18 rtt=102 bytes_acked=29479832 bytes_sent=29484176 phase=slow_start Destination: 192.168.88.253:42620
[208746.375899] TCP: my_cca: seq=10400 cwnd=18 rtt=115 bytes_acked=29739024 bytes_sent=29747712 phase=slow_start Destination: 192.168.88.253:42620
[208746.379586] TCP: my_cca: seq=10500 cwnd=18 rtt=123 bytes_acked=29996768 bytes_sent=30004008 phase=slow_start Destination: 192.168.88.253:42620
[208746.384121] TCP: my_cca: seq=10600 cwnd=18 rtt=140 bytes_acked=30258856 bytes_sent=30266096 phase=slow_start Destination: 192.168.88.253:42620
[208746.387852] TCP: my_cca: seq=10700 cwnd=18 rtt=131 bytes_acked=30512256 bytes_sent=30519496 phase=slow_start Destination: 192.168.88.253:42620
[208746.391651] TCP: my_cca: seq=10800 cwnd=18 rtt=107 bytes_acked=30775792 bytes_sent=30781584 phase=slow_start Destination: 192.168.88.253:42620
[208746.395411] TCP: my_cca: seq=10900 cwnd=18 rtt=122 bytes_acked=31027744 bytes_sent=31034984 phase=slow_start Destination: 192.168.88.253:42620
[208746.399626] TCP: my_cca: seq=11000 cwnd=18 rtt=118 bytes_acked=31299968 bytes_sent=31307208 phase=slow_start Destination: 192.168.88.253:42620
[208746.403859] TCP: my_cca: seq=11100 cwnd=18 rtt=105 bytes_acked=31570744 bytes_sent=31575088 phase=slow_start Destination: 192.168.88.253:42620
[208746.407613] TCP: my_cca: seq=11200 cwnd=18 rtt=98 bytes_acked=31824144 bytes_sent=31829936 phase=slow_start Destination: 192.168.88.253:42620
[208746.411318] TCP: my_cca: seq=11300 cwnd=18 rtt=136 bytes_acked=32071752 bytes_sent=32078992 phase=slow_start Destination: 192.168.88.253:42620
[208746.415108] TCP: my_cca: seq=11400 cwnd=18 rtt=154 bytes_acked=32332392 bytes_sent=32338184 phase=slow_start Destination: 192.168.88.253:42620
[208746.418893] TCP: my_cca: seq=11500 cwnd=18 rtt=119 bytes_acked=32578552 bytes_sent=32582896 phase=slow_start Destination: 192.168.88.253:42620
[208746.423597] TCP: my_cca: seq=11600 cwnd=18 rtt=119 bytes_acked=32852224 bytes_sent=32859464 phase=slow_start Destination: 192.168.88.253:42620
[208746.427622] TCP: my_cca: seq=11700 cwnd=18 rtt=131 bytes_acked=33114312 bytes_sent=33121552 phase=slow_start Destination: 192.168.88.253:42620
[208746.431267] TCP: my_cca: seq=11800 cwnd=18 rtt=117 bytes_acked=33367712 bytes_sent=33374952 phase=slow_start Destination: 192.168.88.253:42620
[208746.434935] TCP: my_cca: seq=11900 cwnd=18 rtt=127 bytes_acked=33616768 bytes_sent=33624008 phase=slow_start Destination: 192.168.88.253:42620
[208746.438522] TCP: my_cca: seq=12000 cwnd=18 rtt=145 bytes_acked=33868720 bytes_sent=33874512 phase=slow_start Destination: 192.168.88.253:42620
[208746.442142] TCP: my_cca: seq=12100 cwnd=18 rtt=135 bytes_acked=34122120 bytes_sent=34123568 phase=slow_start Destination: 192.168.88.253:42620
[208746.445840] TCP: my_cca: seq=12200 cwnd=18 rtt=119 bytes_acked=34369728 bytes_sent=34376968 phase=slow_start Destination: 192.168.88.253:42620
[208746.449498] TCP: my_cca: seq=12300 cwnd=18 rtt=126 bytes_acked=34620232 bytes_sent=34627472 phase=slow_start Destination: 192.168.88.253:42620
[208746.453055] TCP: my_cca: seq=12400 cwnd=18 rtt=140 bytes_acked=34869288 bytes_sent=34876528 phase=slow_start Destination: 192.168.88.253:42620
