line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
434,79309.525442,41,192.168.88.253,58816,339,,congestion_avoidance,
435,79309.526025,42,192.168.88.253,58816,376,,congestion_avoidance,
436,79309.526565,43,192.168.88.253,58816,391,,congestion_avoidance,
437,79309.526924,44,192.168.88.253,58816,393,,congestion_avoidance,
438,79309.527519,45,192.168.88.253,58816,478,,congestion_avoidance,
439,79309.528141,46,192.168.88.253,58816,422,,congestion_avoidance,
440,79309.528761,47,192.168.88.253,58816,536,,congestion_avoidance,
441,79309.529154,48,192.168.88.253,58816,517,,congestion_avoidance,
442,79309.530012,49,192.168.88.253,58816,578,,congestion_avoidance,
443,79309.530353,50,192.168.88.253,58816,584,,congestion_avoidance,
444,79309.531065,25,192.168.88.253,58816,557,,loss_recovery,
445,79309.531655,26,192.168.88.253,58816,245,,congestion_avoidance,
446,79309.531912,27,192.168.88.253,58816,288,,congestion_avoidance,
447,79309.532276,28,192.168.88.253,58816,282,,congestion_avoidance,
448,79309.532583,29,192.168.88.253,58816,303,,congestion_avoidance,
449,79309.532912,30,192.168.88.253,58816,251,,congestion_avoidance,
450,79309.533265,31,192.168.88.253,58816,323,,congestion_avoidance,
451,79309.533839,32,192.168.88.253,58816,289,,congestion_avoidance,
452,79309.534139,33,192.168.88.253,58816,295,,congestion_avoidance,
453,79309.534411,34,192.168.88.253,58816,308,,congestion_avoidance,
454,79309.535010,35,192.168.88.253,58816,331,,congestion_avoidance,
455,79309.535360,36,192.168.88.253,58816,345,,congestion_avoidance,
456,79309.535921,37,192.168.88.253,58816,391,,congestion_avoidance,
457,79309.536233,38,192.168.88.253,58816,307,,congestion_avoidance,
458,79309.536794,39,192.168.88.253,58816,390,,congestion_avoidance,
459,79309.537100,40,192.168.88.253,58816,376,,congestion_avoidance,
460,79309.537748,41,192.168.88.253,58816,488,,congestion_avoidance,
461,79309.538285,42,192.168.88.253,58816,464,,congestion_avoidance,
462,79309.538577,43,192.168.88.253,58816,375,,congestion_avoidance,
463,79309.539142,44,192.168.88.253,58816,482,,congestion_avoidance,
464,79309.539844,45,192.168.88.253,58816,465,,congestion_avoidance,
