# R_arrival samples from kprobe:tbf_enqueue
# interval_seconds=0.001000000
timestamp,interval_seconds,bytes,packets,r_arrival_mbit
# bpftrace: Attaching 2 probes...
1778732907.295557,0.000998321,0,0,0.000000
1778732907.295661,0.000999974,0,0,0.000000
1778732907.295682,0.001000378,0,0,0.000000
1778732907.295699,0.000999584,0,0,0.000000
1778732907.295719,0.000999962,0,0,0.000000
1778732907.295738,0.001000005,0,0,0.000000
1778732907.295755,0.001000424,0,0,0.000000
1778732907.295772,0.000999602,0,0,0.000000
1778732907.295788,0.001000029,0,0,0.000000
1778732907.295807,0.000999976,0,0,0.000000
1778732907.295828,0.001000368,0,0,0.000000
1778732907.295845,0.000999655,0,0,0.000000
1778732907.295861,0.001000034,0,0,0.000000
1778732907.295877,0.000999957,0,0,0.000000
1778732907.295893,0.001000414,0,0,0.000000
1778732907.295912,0.001001192,0,0,0.000000
1778732907.295937,0.000998362,0,0,0.000000
1778732907.295954,0.000999996,0,0,0.000000
1778732907.295969,0.001000714,0,0,0.000000
1778732907.295985,0.000999303,0,0,0.000000
1778732907.296003,0.000999975,0,0,0.000000
1778732907.296031,0.001000054,0,0,0.000000
1778732907.296049,0.001000580,0,0,0.000000
1778732907.296065,0.000999419,0,0,0.000000
1778732907.296082,0.000999997,0,0,0.000000
1778732907.296101,0.000999983,0,0,0.000000
1778732907.296118,0.001000615,0,0,0.000000
1778732907.296135,0.000999408,0,0,0.000000
1778732907.296150,0.000999972,0,0,0.000000
1778732907.296167,0.000999959,0,0,0.000000
1778732907.296183,0.001001326,0,0,0.000000
1778732907.296199,0.000998713,0,0,0.000000
1778732907.296219,0.000999982,0,0,0.000000
1778732907.296238,0.001000000,0,0,0.000000
1778732907.296258,0.001000502,0,0,0.000000
1778732907.296274,0.000999532,0,0,0.000000
1778732907.296293,0.000999981,0,0,0.000000
1778732907.296313,0.001000001,0,0,0.000000
1778732907.296329,0.001000437,0,0,0.000000
1778732907.296345,0.000999586,0,0,0.000000
1778732907.296364,0.000999991,0,0,0.000000
1778732907.296383,0.001000008,0,0,0.000000
1778732907.296400,0.001000317,0,0,0.000000
