line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
1,654649.860539,1,10,1448,30408,192.168.88.253,57514,457,,loss_recovery,
2,654649.860758,2,5,4344,36200,192.168.88.253,57514,203,,congestion_avoidance,
3,654649.861640,20,10,56472,98464,192.168.88.253,57514,116,,loss_recovery,
4,654649.861826,24,5,68056,107152,192.168.88.253,57514,108,,congestion_avoidance,
5,654649.862575,42,10,118736,166520,192.168.88.253,57514,165,,loss_recovery,
6,654649.862732,46,5,127424,176656,192.168.88.253,57514,125,,congestion_avoidance,
7,654649.863655,71,11,194032,250504,192.168.88.253,57514,127,,loss_recovery,
8,654649.863855,75,5,205616,260640,192.168.88.253,57514,141,,congestion_avoidance,
9,654649.864583,94,10,256296,320008,192.168.88.253,57514,127,,loss_recovery,
10,654649.864746,99,5,264984,327248,192.168.88.253,57514,118,,congestion_avoidance,
11,654649.864773,100,5,267880,330144,192.168.88.253,57514,108,,congestion_avoidance,
12,654649.865422,129,10,317112,388064,192.168.88.253,57514,120,,loss_recovery,
13,654649.865572,135,5,325800,396752,192.168.88.253,57514,134,,congestion_avoidance,
14,654649.866330,155,10,376480,454672,192.168.88.253,57514,135,,loss_recovery,
15,654649.866527,159,5,386616,461912,192.168.88.253,57514,138,,congestion_avoidance,
16,654649.867379,177,10,437296,522728,192.168.88.253,57514,184,,loss_recovery,
17,654649.867648,181,5,450328,532864,192.168.88.253,57514,128,,congestion_avoidance,
18,654649.868523,194,10,502456,598024,192.168.88.253,57514,151,,loss_recovery,
19,654649.868719,197,5,509696,608160,192.168.88.253,57514,159,,congestion_avoidance,
20,654649.868864,200,6,516936,615400,192.168.88.253,57514,141,,congestion_avoidance,
21,654649.869510,212,10,558928,663184,192.168.88.253,57514,118,,loss_recovery,
22,654649.869692,215,5,567616,673320,192.168.88.253,57514,149,,congestion_avoidance,
23,654649.870490,231,10,615400,729792,192.168.88.253,57514,176,,loss_recovery,
24,654649.870703,235,5,626984,739928,192.168.88.253,57514,115,,congestion_avoidance,
25,654649.871471,249,10,677664,793504,192.168.88.253,57514,173,,loss_recovery,
26,654649.871645,251,5,683456,803640,192.168.88.253,57514,141,,congestion_avoidance,
27,654649.872611,270,11,748616,881832,192.168.88.253,57514,129,,loss_recovery,
28,654649.872783,273,5,757304,891968,192.168.88.253,57514,139,,congestion_avoidance,
29,654649.873576,288,10,806536,946992,192.168.88.253,57514,116,,loss_recovery,
30,654649.873752,291,5,815224,957128,192.168.88.253,57514,142,,congestion_avoidance,
31,654649.874406,300,8,845632,987536,192.168.88.253,57514,203,,congestion_avoidance,
32,654649.874763,308,10,871696,1016496,192.168.88.253,57514,183,,loss_recovery,
33,654649.874932,310,5,877488,1026632,192.168.88.253,57514,128,,congestion_avoidance,
34,654649.876025,327,10,935408,1091792,192.168.88.253,57514,119,,loss_recovery,
35,654649.876200,331,5,945544,1101928,192.168.88.253,57514,132,,congestion_avoidance,
36,654649.876980,345,10,993328,1155504,192.168.88.253,57514,122,,loss_recovery,
37,654649.877237,348,5,1002016,1165640,192.168.88.253,57514,195,,congestion_avoidance,
38,654649.878059,366,10,1052696,1223560,192.168.88.253,57514,190,,loss_recovery,
39,654649.878274,369,5,1064280,1233696,192.168.88.253,57514,125,,congestion_avoidance,
40,654649.879132,383,10,1117856,1291616,192.168.88.253,57514,172,,loss_recovery,
41,654649.879310,385,5,1123648,1301752,192.168.88.253,57514,137,,congestion_avoidance,
42,654649.880237,399,10,1172880,1359672,192.168.88.253,57514,213,,loss_recovery,
43,654649.880290,400,5,1175776,1361120,192.168.88.253,57514,120,,loss_recovery,
44,654649.880423,403,5,1183016,1369808,192.168.88.253,57514,127,,congestion_avoidance,
45,654649.881377,422,10,1243832,1437864,192.168.88.253,57514,191,,loss_recovery,
46,654649.881608,426,5,1255416,1448000,192.168.88.253,57514,119,,congestion_avoidance,
47,654649.882681,446,11,1323472,1526192,192.168.88.253,57514,210,,loss_recovery,
48,654649.882882,448,5,1329264,1536328,192.168.88.253,57514,124,,congestion_avoidance,
49,654649.883783,467,10,1390080,1602936,192.168.88.253,57514,128,,loss_recovery,
50,654649.883985,470,5,1398768,1613072,192.168.88.253,57514,135,,congestion_avoidance,
51,654649.884953,490,11,1462480,1682576,192.168.88.253,57514,114,,loss_recovery,
52,654649.885116,493,5,1471168,1692712,192.168.88.253,57514,106,,congestion_avoidance,
53,654649.885516,500,8,1494336,1718776,192.168.88.253,57514,117,,congestion_avoidance,
54,654649.885913,507,10,1521848,1746288,192.168.88.253,57514,163,,loss_recovery,
