# R_arrival samples from kprobe:tbf_enqueue
# interval_seconds=0.001000000
timestamp,interval_seconds,bytes,packets,r_arrival_mbit
# bpftrace: Attaching 2 probes...
1780996751.271188,0.001011920,0,0,0.000000
1780996751.271276,0.000987619,0,0,0.000000
1780996751.271306,0.000997464,0,0,0.000000
1780996751.271323,0.001002460,0,0,0.000000
1780996751.271338,0.001007907,0,0,0.000000
1780996751.271351,0.000989948,0,0,0.000000
1780996751.271367,0.001005164,0,0,0.000000
1780996751.271384,0.000999859,0,0,0.000000
1780996751.271397,0.001000861,0,0,0.000000
1780996751.271411,0.001001022,0,0,0.000000
1780996751.271424,0.000996212,0,0,0.000000
1780996751.271438,0.001011456,0,0,0.000000
1780996751.271454,0.000989384,0,0,0.000000
1780996751.271470,0.000996793,0,0,0.000000
1780996751.271484,0.001009013,0,0,0.000000
1780996751.271498,0.000993516,0,0,0.000000
1780996751.271514,0.000998558,0,0,0.000000
1780996751.271531,0.001007084,0,0,0.000000
1780996751.271552,0.000990668,0,0,0.000000
1780996751.271567,0.001013106,0,0,0.000000
1780996751.271580,0.000988568,0,0,0.000000
1780996751.271596,0.000999526,0,0,0.000000
1780996751.271612,0.001004050,0,0,0.000000
1780996751.271626,0.001002262,0,0,0.000000
1780996751.271640,0.000994307,0,0,0.000000
1780996751.271655,0.001005645,0,0,0.000000
1780996751.271672,0.001001289,0,0,0.000000
1780996751.271686,0.000991233,0,0,0.000000
1780996751.271700,0.001009287,0,0,0.000000
1780996751.271713,0.000997763,0,0,0.000000
1780996751.271728,0.000993582,0,0,0.000000
1780996751.271744,0.001001768,0,0,0.000000
1780996751.271758,0.001008334,0,0,0.000000
1780996751.271771,0.001002600,0,0,0.000000
1780996751.271785,0.000988881,0,0,0.000000
1780996751.271799,0.000997077,0,0,0.000000
1780996751.271814,0.001009898,0,0,0.000000
1780996751.271830,0.001003651,0,0,0.000000
1780996751.271844,0.000988092,0,0,0.000000
1780996751.271857,0.001003076,0,0,0.000000
1780996751.271870,0.001002160,0,0,0.000000
1780996751.271883,0.000999346,0,0,0.000000
1780996751.271897,0.000998066,0,0,0.000000
1780996751.271913,0.001007361,0,0,0.000000
1780996751.271930,0.000996816,0,0,0.000000
1780996751.271943,0.001007022,0,0,0.000000
1780996751.271956,0.000997252,0,0,0.000000
1780996751.271970,0.001001354,0,0,0.000000
1780996751.271985,0.000994014,0,0,0.000000
1780996751.272001,0.000993300,0,0,0.000000
1780996751.272021,0.001009568,0,0,0.000000
1780996751.272920,0.001007036,0,0,0.000000
1780996751.273935,0.000997576,0,0,0.000000
1780996751.274922,0.000993483,0,0,0.000000
1780996751.275898,0.001004955,0,0,0.000000
1780996751.276906,0.000992457,0,0,0.000000
1780996751.277918,0.001003443,0,0,0.000000
1780996751.278944,0.001005022,0,0,0.000000
1780996751.279937,0.000993896,0,0,0.000000
1780996751.280941,0.001009958,0,0,0.000000
1780996751.281889,0.000987258,0,0,0.000000
1780996751.282926,0.000999028,0,0,0.000000
1780996751.283916,0.001009243,0,0,0.000000
1780996751.284938,0.000994141,0,0,0.000000
1780996751.285911,0.000997600,0,0,0.000000
1780996751.286943,0.001004414,0,0,0.000000
1780996751.287933,0.000998001,0,0,0.000000
1780996751.288913,0.000997030,0,0,0.000000
1780996751.289967,0.001000487,0,0,0.000000
1780996751.290950,0.001000537,0,0,0.000000
1780996751.291965,0.001002873,0,0,0.000000
1780996751.292976,0.001006906,0,0,0.000000
1780996751.293916,0.000992768,0,0,0.000000
1780996751.294991,0.000997183,0,0,0.000000
1780996751.296077,0.001007885,61212,6,485.864955
1780996751.297060,0.001001383,36486,3,291.484876
1780996751.297991,0.000996054,30540,2,245.287906
1780996751.299027,0.000994684,3028,2,24.353463
1780996751.299962,0.001002850,30738,5,245.205165
1780996751.300951,0.001006172,39360,4,312.948482
1780996751.301925,0.000997553,30606,3,245.448613
1780996751.302960,0.000993130,23366,3,188.221079
1780996751.303933,0.001005419,34950,3,278.093014
1780996751.304912,0.000993867,29158,3,234.703436
1780996751.305922,0.001010788,36398,3,288.076234
1780996751.306941,0.000997312,32054,3,257.123147
1780996751.307917,0.000997554,29092,2,233.306668
1780996751.308995,0.001006870,32054,3,254.682332
1780996751.309963,0.000993548,26196,2,210.928913
1780996751.310986,0.000994091,36398,3,292.914834
1780996751.311962,0.001013746,30540,2,241.007116
1780996751.312979,0.000987616,16060,2,130.091048
1780996751.314156,0.001010779,36332,2,287.556429
1780996751.315000,0.001000825,26196,2,209.395249
1780996751.316152,0.000987996,35054,3,283.839206
1780996751.317062,0.000999931,27644,2,221.167261
1780996751.318010,0.001006921,34884,2,277.153818
1780996751.319030,0.000992961,27644,2,222.719724
1780996751.319983,0.001005845,31988,2,254.416933
1780996751.320972,0.001000127,30540,2,244.288975
1780996751.321947,0.000993734,34884,2,280.831691
1780996751.322985,0.001012437,18890,1,149.263609
1780996751.323977,0.001000028,31988,2,255.896835
1780996751.324988,0.000992712,37780,2,304.458896
1780996751.326008,0.001007061,27644,2,219.601395
1780996751.327002,0.000997944,20338,1,163.039209
1780996751.327996,0.000995537,37780,2,303.594944
1780996751.328951,0.001007944,36332,2,288.365227
1780996751.329941,0.000997567,30540,2,244.915880
1780996751.330965,0.000991016,17442,1,140.800956
1780996751.331948,0.001006421,37780,2,300.311699
1780996751.332919,0.000995591,36332,2,291.943177
1780996751.333906,0.001008103,30540,2,242.356188
1780996751.334927,0.000986694,18890,1,153.157919
1780996751.335925,0.001001055,46534,3,371.879667
1780996751.336940,0.001009182,17442,1,138.266438
1780996751.337926,0.000994462,18890,1,151.961563
1780996751.338953,0.001003616,36332,2,289.608775
1780996751.339970,0.000999262,26196,2,209.722775
1780996751.340910,0.000992734,40676,2,327.789720
1780996751.341901,0.001003042,17442,1,139.112819
1780996751.342928,0.001007343,49430,3,392.557451
1780996751.343911,0.000995192,17442,1,140.210130
1780996751.344947,0.000999316,40676,2,325.630731
1780996751.345912,0.001001148,17442,1,139.375996
1780996751.346929,0.001006393,30540,2,242.767984
1780996751.347917,0.000991999,36332,2,293.000295
1780996751.349002,0.001007688,18890,1,149.967053
1780996751.349931,0.000987746,39228,2,317.717308
1780996751.350938,0.001013314,30540,2,241.109863
1780996751.351977,0.000997316,36332,2,291.438220
1780996751.352920,0.000992271,18890,1,152.297104
1780996751.353931,0.001004985,39228,2,312.267347
1780996751.354907,0.000992376,30540,2,246.197006
1780996751.355931,0.001012140,18890,1,149.307408
1780996751.356919,0.000993561,36332,2,292.539663
1780996751.357919,0.000993973,36332,2,292.418406
1780996751.358935,0.001015173,30540,2,240.668339
1780996751.359938,0.000988511,17496,2,141.594782
1780996751.360919,0.001008592,47982,3,380.586005
1780996751.361932,0.000988842,18890,1,152.825224
1780996751.362942,0.001012208,17442,1,137.853089
1780996751.363975,0.000987632,37780,2,306.024916
1780996751.364988,0.001000230,24748,2,197.938474
1780996751.365917,0.000998948,42124,2,337.346889
1780996751.366952,0.001000498,18890,1,151.044780
1780996751.367932,0.001000320,45086,3,360.572617
1780996751.368927,0.001012203,17442,1,137.853770
1780996751.369909,0.000987460,46534,3,376.999575
1780996751.370911,0.001002089,17442,1,139.245117
1780996751.371914,0.001003745,37780,2,301.112334
1780996751.372929,0.000997405,17442,1,139.899038
1780996751.374049,0.000997074,30540,2,245.036978
1780996751.375091,0.001000875,34884,2,278.828025
1780996751.375979,0.000999102,30540,2,244.539597
1780996751.376969,0.001000206,18890,1,151.088876
1780996751.377939,0.000999482,36332,2,290.806638
1780996751.378951,0.001003582,36332,2,289.618586
1780996751.379934,0.001000747,30540,2,244.137629
1780996751.380931,0.000995691,18890,1,151.773994
1780996751.381914,0.001000468,46534,3,372.097858
1780996751.382927,0.001013083,17442,1,137.734026
1780996751.383928,0.000988267,37780,2,305.828283
1780996751.384984,0.001011674,20338,1,160.826511
1780996751.385952,0.000994603,49430,3,397.585770
1780996751.386938,0.000991831,17442,1,140.685258
1780996751.387927,0.000999373,18956,2,151.743143
1780996751.388924,0.001000152,45020,2,360.105264
1780996751.389926,0.001013320,17442,1,137.701812
1780996751.390938,0.000995964,39228,2,315.095726
1780996751.391928,0.001003496,23300,2,185.750616
1780996751.392978,0.000988205,43572,2,352.736527
1780996751.393965,0.001009297,18890,1,149.727979
1780996751.395000,0.000991183,39228,2,316.615600
1780996751.395968,0.000999689,17442,1,139.579409
1780996751.396972,0.001009167,49430,3,391.847930
1780996751.397940,0.000999155,17442,1,139.654008
1780996751.399023,0.001000675,27644,2,221.002823
1780996751.399965,0.000989922,36332,2,293.615052
1780996751.400933,0.001012293,18890,1,149.284841
1780996751.401937,0.000998189,36332,2,291.183333
1780996751.402926,0.000989532,30540,2,246.904597
1780996751.403924,0.001000427,36332,2,290.531943
1780996751.404925,0.000999664,29092,2,232.814226
1780996751.405934,0.001005853,17442,1,138.724048
1780996751.406967,0.000999132,45086,3,361.001349
1780996751.407951,0.000995673,21786,1,175.045422
1780996751.408908,0.000999678,33436,2,267.574159
1780996751.409906,0.000999676,18890,1,151.168979
1780996751.410918,0.001000400,47982,3,383.702519
1780996751.411929,0.001010579,18890,1,149.538037
1780996751.412927,0.000996755,46534,3,373.483955
1780996751.413937,0.000992439,17442,1,140.599070
1780996751.414977,0.000999998,17442,1,139.536279
1780996751.415927,0.001009522,46534,3,368.760661
1780996751.416926,0.001004955,17442,1,138.848008
