# R_arrival samples from kprobe:tbf_enqueue
# interval_seconds=0.001000000
timestamp,interval_seconds,bytes,packets,r_arrival_mbit
# bpftrace: Attaching 2 probes...
1780950290.416902,0.001000968,0,0,0.000000
1780950290.416994,0.001003828,0,0,0.000000
1780950290.417012,0.000997235,0,0,0.000000
1780950290.417027,0.001009822,0,0,0.000000
1780950290.417041,0.000986942,0,0,0.000000
1780950290.417055,0.001008314,0,0,0.000000
1780950290.417073,0.000991942,0,0,0.000000
1780950290.417091,0.001014556,0,0,0.000000
1780950290.417105,0.000989379,0,0,0.000000
1780950290.417120,0.001000289,0,0,0.000000
1780950290.417139,0.000996594,0,0,0.000000
1780950290.417157,0.001003605,0,0,0.000000
1780950290.417171,0.000999541,0,0,0.000000
1780950290.417186,0.001006104,0,0,0.000000
1780950290.417200,0.000997835,0,0,0.000000
1780950290.417214,0.001007534,0,0,0.000000
1780950290.417231,0.000986074,0,0,0.000000
1780950290.417248,0.001002403,0,0,0.000000
1780950290.417269,0.001009553,0,0,0.000000
1780950290.417284,0.000993959,0,0,0.000000
1780950290.417301,0.000993949,0,0,0.000000
1780950290.417317,0.001006325,0,0,0.000000
1780950290.417332,0.000992323,0,0,0.000000
1780950290.417345,0.001011757,0,0,0.000000
1780950290.417361,0.000988884,0,0,0.000000
1780950290.417377,0.001004490,0,0,0.000000
1780950290.417392,0.001009304,0,0,0.000000
1780950290.417405,0.000985226,0,0,0.000000
1780950290.417421,0.001001156,0,0,0.000000
1780950290.417438,0.000998934,0,0,0.000000
1780950290.417452,0.001008516,0,0,0.000000
1780950290.417465,0.000993596,0,0,0.000000
1780950290.417479,0.000998498,0,0,0.000000
1780950290.417495,0.001005420,0,0,0.000000
1780950290.417511,0.000997462,0,0,0.000000
1780950290.417525,0.000997707,0,0,0.000000
1780950290.417539,0.000998992,0,0,0.000000
1780950290.417555,0.001003559,0,0,0.000000
1780950290.417572,0.000996304,0,0,0.000000
1780950290.417587,0.001002761,0,0,0.000000
1780950290.417601,0.001004364,0,0,0.000000
1780950290.417616,0.000994618,0,0,0.000000
1780950290.417633,0.001011395,0,0,0.000000
1780950290.417647,0.000988417,0,0,0.000000
1780950290.417660,0.000998839,0,0,0.000000
1780950290.417674,0.000999866,0,0,0.000000
1780950290.417689,0.001000129,0,0,0.000000
1780950290.417706,0.001004432,0,0,0.000000
1780950290.417720,0.000996682,0,0,0.000000
1780950290.417740,0.001002383,0,0,0.000000
1780950290.417760,0.001001199,0,0,0.000000
1780950290.418616,0.001012375,0,0,0.000000
1780950290.419586,0.000987308,0,0,0.000000
1780950290.420606,0.001001482,0,0,0.000000
1780950290.421586,0.001002953,0,0,0.000000
1780950290.422606,0.000998429,0,0,0.000000
1780950290.423844,0.001009574,23366,3,185.155323
1780950290.424719,0.001000953,86686,19,692.827735
1780950290.425615,0.000993435,80564,14,648.771183
1780950290.426790,0.001002698,82078,15,654.857195
1780950290.427603,0.001003866,83856,20,668.264489
1780950290.428725,0.000986555,93794,17,760.577971
1780950290.429658,0.001000163,79578,21,636.520247
1780950290.430588,0.001001292,70692,18,564.806270
1780950290.431807,0.000998880,86422,15,692.151209
1780950290.432696,0.001006091,82474,21,655.797537
1780950290.433663,0.000994715,93992,20,755.931096
1780950290.434594,0.000999235,90964,18,728.269126
1780950290.435622,0.001000035,73192,12,585.515507
1780950290.436666,0.001001690,83460,14,666.553525
1780950290.437701,0.001007623,90502,11,718.538580
1780950290.438619,0.000996351,72008,16,578.173756
1780950290.439632,0.001002609,74508,10,594.512916
1780950290.440781,0.001002615,81748,10,652.278292
