line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
1,649786.078407,1,10,7240,14480,192.168.88.253,38632,373,,slow_start,
2,649786.081802,100,8,254848,264984,192.168.88.253,38632,178,,slow_start,
3,649786.084226,200,8,399648,409784,192.168.88.253,38632,181,,slow_start,
4,649786.086638,300,8,544448,554584,192.168.88.253,38632,162,,slow_start,
5,649786.089062,400,8,689248,699384,192.168.88.253,38632,159,,slow_start,
6,649786.092498,500,8,893416,902104,192.168.88.253,38632,178,,slow_start,
7,649786.096980,600,8,1162744,1172880,192.168.88.253,38632,178,,slow_start,
8,649786.101360,700,8,1426280,1432072,192.168.88.253,38632,141,,slow_start,
9,649786.105534,800,8,1673888,1681128,192.168.88.253,38632,147,,slow_start,
10,649786.109616,900,8,1918600,1927288,192.168.88.253,38632,184,,slow_start,
11,649786.113879,1000,8,2173448,2179240,192.168.88.253,38632,179,,slow_start,
12,649786.118032,1100,8,2419608,2428296,192.168.88.253,38632,146,,slow_start,
13,649786.122607,1200,8,2694728,2700520,192.168.88.253,38632,198,,slow_start,
14,649786.127163,1300,8,2965504,2972744,192.168.88.253,38632,168,,slow_start,
15,649786.132400,1400,8,3278272,3285512,192.168.88.253,38632,157,,slow_start,
16,649786.137269,1500,8,3569320,3578008,192.168.88.253,38632,159,,slow_start,
17,649786.141922,1600,8,3848784,3857472,192.168.88.253,38632,159,,slow_start,
18,649786.146507,1700,8,4123904,4131144,192.168.88.253,38632,159,,slow_start,
19,649786.151415,1800,8,4414952,4423640,192.168.88.253,38632,131,,slow_start,
20,649786.156566,1900,8,4723376,4729168,192.168.88.253,38632,171,,slow_start,
21,649786.161492,2000,8,5017320,5026008,192.168.88.253,38632,158,,slow_start,
22,649786.166426,2100,8,5312712,5318504,192.168.88.253,38632,162,,slow_start,
23,649786.171546,2200,8,5619688,5626928,192.168.88.253,38632,147,,slow_start,
24,649786.176796,2300,8,5932456,5938248,192.168.88.253,38632,198,,slow_start,
25,649786.182179,2400,8,6251016,6256808,192.168.88.253,38632,219,,slow_start,
26,649786.187323,2500,8,6559440,6568128,192.168.88.253,38632,210,,slow_start,
27,649786.192400,2600,8,6866416,6872208,192.168.88.253,38632,186,,slow_start,
28,649786.197709,2700,8,7182080,7190768,192.168.88.253,38632,162,,slow_start,
29,649786.202907,2800,8,7490504,7499192,192.168.88.253,38632,146,,slow_start,
30,649786.207809,2900,8,7785896,7793136,192.168.88.253,38632,171,,slow_start,
31,649786.212496,3000,8,8068256,8076944,192.168.88.253,38632,183,,slow_start,
32,649786.217603,3100,8,8370888,8379576,192.168.88.253,38632,117,,slow_start,
33,649786.222447,3200,8,8661936,8672072,192.168.88.253,38632,142,,slow_start,
34,649786.227706,3300,8,8974704,8983392,192.168.88.253,38632,193,,slow_start,
35,649786.232817,3400,8,9278784,9287472,192.168.88.253,38632,182,,slow_start,
36,649786.237729,3500,8,9574176,9582864,192.168.88.253,38632,180,,slow_start,
