queue_bytes	burst_bytes	rate_mbit	mode	configured_cwnd	attempt	display_cwnd	throughput_mib_s	loss_rate	row_count	loss_rows	first_loss_cwnd	avg_top_cwnd	result_dir	server_log	client_log
11680	5840	750	empirical	12	1	12	72.58	0.362525	6383	2314	7	10.41	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_38446_12	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_empirical_12_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_empirical_12_run1/client.log
11680	5840	750	empirical	11	2	11	78.68	0.133768	3678	492	11	9.85	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_59990_11	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_empirical_11_run2/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_empirical_11_run2/client.log
11680	5840	750	empirical	10	3	10	77.55	0.009891	1921	19	8	9.08	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_47392_10	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_empirical_10_run3/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_empirical_10_run3/client.log
11680	5840	750	bdp_plus_queue	32	1	32	67.82	0.432667	7151	3094	11	11.82	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_40838_32	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_bdp_plus_queue_32_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_bdp_plus_queue_32_run1/client.log
11680	5840	750	bdp	26	1	26	68.72	0.429193	11256	4831	16	11.59	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_36188_26	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_bdp_26_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_750mbit_bdp_26_run1/client.log
11680	5840	1000	reno	0	1	13.79	78.43	0.414815	3915	1624	9	13.79	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_58848_0	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_reno_0_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_reno_0_run1/client.log
11680	5840	1000	empirical	13	1	13	88.85	0.085863	1153	99	9	11.79	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_51910_13	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_empirical_13_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_empirical_13_run1/client.log
11680	5840	1000	empirical	12	2	12	87.84	0.027600	2029	56	8	11.09	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_59668_12	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_empirical_12_run2/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_empirical_12_run2/client.log
11680	5840	1000	empirical	11	3	11	87.23	0.000000	247	0		11.00	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_40070_11	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_empirical_11_run3/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_empirical_11_run3/client.log
11680	5840	1000	bdp_plus_queue	41	1	41	80.14	0.408468	3212	1312	15	13.77	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_50820_41	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_bdp_plus_queue_41_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/11680q_5840burst_1000mbit_bdp_plus_queue_41_run1/client.log
