queue_bytes,burst_bytes,tgr_mbit,strategy,cwnd,throughput_mib_s,empirical_max_loss_rate
12500,12500,750,bdp,25.0,78.98,0.2
12500,12500,1000,reno,16.41,92.18,0.2
12500,12500,1000,empirical,17.0,108.32,0.2
12500,12500,1000,bdp_plus_queue,41.0,92.54,0.2
12500,12500,1000,bdp,34.0,91.56,0.2
12500,25000,250,reno,9.84,28.38,0.2
12500,25000,250,empirical,8.0,28.25,0.2
12500,25000,250,bdp_plus_queue,16.0,28.18,0.2
12500,25000,250,bdp,8.0,28.26,0.2
12500,25000,500,reno,11.58,55.68,0.2
12500,25000,500,empirical,9.0,56.47,0.2
12500,25000,500,bdp_plus_queue,24.0,55.74,0.2
12500,25000,500,bdp,17.0,56.44,0.2
12500,25000,750,reno,16.76,52.01,0.2
12500,25000,750,empirical,13.0,83.82,0.2
12500,25000,750,bdp_plus_queue,33.0,52.69,0.2
12500,25000,750,bdp,25.0,60.27,0.2
12500,25000,1000,reno,19.21,42.43,0.2
12500,25000,1000,empirical,17.0,106.74,0.2
12500,25000,1000,bdp_plus_queue,41.0,47.72,0.2
12500,25000,1000,bdp,34.0,47.44,0.2
12500,50000,250,reno,9.89,28.35,0.2
12500,50000,250,empirical,8.0,28.34,0.2
12500,50000,250,bdp_plus_queue,16.0,28.32,0.2
12500,50000,250,bdp,8.0,28.34,0.2
12500,50000,500,reno,11.39,55.37,0.2
12500,50000,500,empirical,9.0,56.76,0.2
12500,50000,500,bdp_plus_queue,24.0,55.77,0.2
12500,50000,500,bdp,17.0,56.76,0.2
12500,50000,750,reno,16.74,60.91,0.2
12500,50000,750,empirical,13.0,84.77,0.2
12500,50000,750,bdp_plus_queue,33.0,42.45,0.2
12500,50000,750,bdp,25.0,64.18,0.2
12500,50000,1000,reno,19.24,54.52,0.2
12500,50000,1000,empirical,17.0,106.95,0.2
12500,50000,1000,bdp_plus_queue,41.0,51.67,0.2
12500,50000,1000,bdp,34.0,48.42,0.2
12500,100000,250,reno,9.88,28.4,0.2
12500,100000,250,empirical,8.0,28.41,0.2
