line_number,timestamp,seq,cwnd,ip,port,rtt,ssthresh,phase,ca_state
2,1275.261807,1,10,192.168.88.253,45370,20232,,slow_start,
3,1275.324200,47,149,192.168.88.253,45370,20255,,loss_recovery,
4,1275.344813,73,74,192.168.88.253,45370,20219,,congestion_avoidance,
5,1275.364822,100,74,192.168.88.253,45370,20139,,congestion_avoidance,
6,1275.487116,200,80,192.168.88.253,45370,20170,,congestion_avoidance,
7,1275.568630,300,84,192.168.88.253,45370,20195,,congestion_avoidance,
8,1275.752428,400,92,192.168.88.253,45370,20254,,congestion_avoidance,
9,1275.917099,500,100,192.168.88.253,45370,20225,,congestion_avoidance,
10,1275.979571,600,104,192.168.88.253,45370,20182,,congestion_avoidance,
11,1276.040301,700,107,192.168.88.253,45370,20153,,congestion_avoidance,
12,1276.081329,800,109,192.168.88.253,45370,20138,,congestion_avoidance,
13,1276.141750,900,112,192.168.88.253,45370,20179,,congestion_avoidance,
14,1276.202116,1000,114,192.168.88.253,45370,20348,,congestion_avoidance,
15,1276.244170,1100,117,192.168.88.253,45370,20295,,congestion_avoidance,
16,1276.285678,1200,119,192.168.88.253,45370,20274,,congestion_avoidance,
17,1276.326718,1286,121,192.168.88.253,45370,20233,,loss_recovery,
18,1276.347078,1300,60,192.168.88.253,45370,20461,,loss_recovery,
19,1276.551281,1400,69,192.168.88.253,45370,20127,,congestion_avoidance,
20,1276.631357,1500,72,192.168.88.253,45370,20218,,congestion_avoidance,
21,1276.692739,1600,76,192.168.88.253,45370,20174,,congestion_avoidance,
22,1276.774141,1700,80,192.168.88.253,45370,20239,,congestion_avoidance,
23,1277.083345,1900,95,192.168.88.253,45370,20180,,congestion_avoidance,
24,1277.143578,2000,97,192.168.88.253,45370,20164,,congestion_avoidance,
25,1277.204626,2100,100,192.168.88.253,45370,20405,,congestion_avoidance,
26,1277.246433,2200,103,192.168.88.253,45370,20377,,congestion_avoidance,
27,1277.306725,2300,105,192.168.88.253,45370,20224,,congestion_avoidance,
28,1277.368131,2400,108,192.168.88.253,45370,20304,,congestion_avoidance,
29,1277.450560,2500,112,192.168.88.253,45370,20220,,congestion_avoidance,
30,1277.554776,2600,118,192.168.88.253,45370,20449,,congestion_avoidance,
31,1277.676570,2700,123,192.168.88.253,45370,20187,,congestion_avoidance,
32,1277.779479,2800,128,192.168.88.253,45370,20372,,congestion_avoidance,
33,1277.882950,2900,133,192.168.88.253,45370,20464,,congestion_avoidance,
34,1277.986519,3000,139,192.168.88.253,45370,20589,,congestion_avoidance,
35,1278.027284,3038,70,192.168.88.253,45370,20182,,congestion_avoidance,
