line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
1,80063.629354,10,192.168.88.253,34030,154,,slow_start,
2,80063.629554,22,192.168.88.253,34030,142,,slow_start,
3,80063.630012,63,192.168.88.253,34030,300,,slow_start,
4,80063.630137,37,192.168.88.253,34030,425,,loss_recovery,
5,80063.630275,32,192.168.88.253,34030,466,,loss_recovery,
6,80063.631294,33,192.168.88.253,34030,350,,congestion_avoidance,
7,80063.631379,34,192.168.88.253,34030,133,,congestion_avoidance,
8,80063.631865,35,192.168.88.253,34030,382,,congestion_avoidance,
9,80063.632235,36,192.168.88.253,34030,354,,congestion_avoidance,
10,80063.632770,37,192.168.88.253,34030,354,,congestion_avoidance,
11,80063.633133,38,192.168.88.253,34030,449,,congestion_avoidance,
12,80063.633624,39,192.168.88.253,34030,407,,congestion_avoidance,
13,80063.634132,40,192.168.88.253,34030,343,,congestion_avoidance,
14,80063.634624,41,192.168.88.253,34030,453,,congestion_avoidance,
15,80063.635419,42,192.168.88.253,34030,372,,congestion_avoidance,
16,80063.635770,43,192.168.88.253,34030,328,,congestion_avoidance,
17,80063.636474,44,192.168.88.253,34030,423,,congestion_avoidance,
18,80063.637030,45,192.168.88.253,34030,461,,congestion_avoidance,
19,80063.637647,46,192.168.88.253,34030,408,,congestion_avoidance,
20,80063.638296,47,192.168.88.253,34030,314,,congestion_avoidance,
21,80063.638597,48,192.168.88.253,34030,481,,congestion_avoidance,
22,80063.639245,49,192.168.88.253,34030,598,,congestion_avoidance,
23,80063.639723,25,192.168.88.253,34030,549,,loss_recovery,
24,80063.640081,24,192.168.88.253,34030,292,,congestion_avoidance,
25,80063.640437,25,192.168.88.253,34030,284,,congestion_avoidance,
26,80063.640714,26,192.168.88.253,34030,246,,congestion_avoidance,
27,80063.641026,27,192.168.88.253,34030,283,,congestion_avoidance,
28,80063.641365,28,192.168.88.253,34030,293,,congestion_avoidance,
29,80063.641692,29,192.168.88.253,34030,283,,congestion_avoidance,
30,80063.641967,30,192.168.88.253,34030,306,,congestion_avoidance,
31,80063.642534,31,192.168.88.253,34030,353,,congestion_avoidance,
32,80063.643066,32,192.168.88.253,34030,224,,congestion_avoidance,
33,80063.643355,33,192.168.88.253,34030,386,,congestion_avoidance,
34,80063.643652,34,192.168.88.253,34030,292,,congestion_avoidance,
35,80063.643980,35,192.168.88.253,34030,373,,congestion_avoidance,
36,80063.644578,36,192.168.88.253,34030,303,,congestion_avoidance,
37,80063.644903,37,192.168.88.253,34030,320,,congestion_avoidance,
38,80063.645564,38,192.168.88.253,34030,440,,congestion_avoidance,
39,80063.645873,39,192.168.88.253,34030,426,,congestion_avoidance,
40,80063.646192,40,192.168.88.253,34030,358,,congestion_avoidance,
41,80063.646876,41,192.168.88.253,34030,340,,congestion_avoidance,
42,80063.647442,42,192.168.88.253,34030,393,,congestion_avoidance,
43,80063.647728,43,192.168.88.253,34030,482,,congestion_avoidance,
44,80063.648320,44,192.168.88.253,34030,393,,congestion_avoidance,
45,80063.648939,45,192.168.88.253,34030,514,,congestion_avoidance,
46,80063.649519,46,192.168.88.253,34030,541,,congestion_avoidance,
47,80063.650204,47,192.168.88.253,34030,434,,congestion_avoidance,
48,80063.650820,48,192.168.88.253,34030,546,,congestion_avoidance,
49,80063.651182,49,192.168.88.253,34030,604,,congestion_avoidance,
50,80063.651826,50,192.168.88.253,34030,487,,congestion_avoidance,
51,80063.652431,51,192.168.88.253,34030,600,,congestion_avoidance,
52,80063.652995,52,192.168.88.253,34030,547,,congestion_avoidance,
53,80063.653649,53,192.168.88.253,34030,455,,congestion_avoidance,
54,80063.708812,49,192.168.88.253,34030,544,,congestion_avoidance,
