line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
1,76752.843752,10,192.168.88.253,44928,174,,slow_start,
2,76752.844156,36,192.168.88.253,44928,321,,slow_start,
3,76752.844730,44,192.168.88.253,44928,275,,loss_recovery,
4,76752.844845,34,192.168.88.253,44928,390,,loss_recovery,
5,76752.845765,35,192.168.88.253,44928,438,,congestion_avoidance,
6,76752.846137,36,192.168.88.253,44928,367,,congestion_avoidance,
7,76752.846943,37,192.168.88.253,44928,330,,congestion_avoidance,
8,76752.847079,38,192.168.88.253,44928,412,,congestion_avoidance,
9,76752.847468,39,192.168.88.253,44928,408,,congestion_avoidance,
10,76752.847945,40,192.168.88.253,44928,351,,congestion_avoidance,
11,76752.848599,41,192.168.88.253,44928,445,,congestion_avoidance,
12,76752.849062,42,192.168.88.253,44928,476,,congestion_avoidance,
13,76752.849458,43,192.168.88.253,44928,445,,congestion_avoidance,
14,76752.850064,44,192.168.88.253,44928,458,,congestion_avoidance,
15,76752.850550,45,192.168.88.253,44928,431,,congestion_avoidance,
16,76752.851086,46,192.168.88.253,44928,304,,congestion_avoidance,
17,76752.851875,47,192.168.88.253,44928,507,,congestion_avoidance,
18,76752.852277,48,192.168.88.253,44928,347,,congestion_avoidance,
19,76752.853459,49,192.168.88.253,44928,151,,congestion_avoidance,
20,76752.854196,50,192.168.88.253,44928,465,,congestion_avoidance,
21,76752.855000,51,192.168.88.253,44928,578,,congestion_avoidance,
22,76752.855494,52,192.168.88.253,44928,501,,congestion_avoidance,
23,76752.856017,53,192.168.88.253,44928,639,,congestion_avoidance,
24,76752.856872,54,192.168.88.253,44928,613,,congestion_avoidance,
25,76752.857440,55,192.168.88.253,44928,470,,congestion_avoidance,
26,76752.857965,56,192.168.88.253,44928,649,,congestion_avoidance,
27,76752.858882,57,192.168.88.253,44928,556,,congestion_avoidance,
28,76752.859763,58,192.168.88.253,44928,597,,congestion_avoidance,
29,76752.860314,59,192.168.88.253,44928,702,,congestion_avoidance,
30,76752.860815,60,192.168.88.253,44928,544,,congestion_avoidance,
31,76752.861769,61,192.168.88.253,44928,580,,loss_recovery,
32,76752.862287,30,192.168.88.253,44928,262,,loss_recovery,
33,76752.862651,31,192.168.88.253,44928,348,,congestion_avoidance,
34,76752.863109,32,192.168.88.253,44928,383,,congestion_avoidance,
35,76752.863493,33,192.168.88.253,44928,379,,congestion_avoidance,
36,76752.863984,34,192.168.88.253,44928,379,,congestion_avoidance,
37,76752.864551,35,192.168.88.253,44928,394,,congestion_avoidance,
38,76752.864978,36,192.168.88.253,44928,276,,congestion_avoidance,
39,76752.865442,37,192.168.88.253,44928,278,,congestion_avoidance,
40,76752.865889,38,192.168.88.253,44928,358,,congestion_avoidance,
41,76752.866305,39,192.168.88.253,44928,411,,congestion_avoidance,
42,76752.866708,40,192.168.88.253,44928,290,,congestion_avoidance,
43,76752.867245,41,192.168.88.253,44928,301,,congestion_avoidance,
44,76752.867714,42,192.168.88.253,44928,475,,congestion_avoidance,
45,76752.868256,43,192.168.88.253,44928,450,,congestion_avoidance,
46,76752.868822,44,192.168.88.253,44928,324,,congestion_avoidance,
47,76752.869254,45,192.168.88.253,44928,527,,congestion_avoidance,
48,76752.869775,46,192.168.88.253,44928,540,,congestion_avoidance,
49,76752.870222,47,192.168.88.253,44928,529,,congestion_avoidance,
50,76752.874249,48,192.168.88.253,44928,207,,congestion_avoidance,
51,76752.875169,49,192.168.88.253,44928,521,,congestion_avoidance,
52,76752.875958,50,192.168.88.253,44928,580,,congestion_avoidance,
53,76752.876425,51,192.168.88.253,44928,460,,congestion_avoidance,
54,76752.876909,52,192.168.88.253,44928,404,,congestion_avoidance,
55,76752.877320,53,192.168.88.253,44928,557,,congestion_avoidance,
56,76752.878199,54,192.168.88.253,44928,447,,congestion_avoidance,
57,76752.878686,55,192.168.88.253,44928,616,,congestion_avoidance,
58,76752.879612,56,192.168.88.253,44928,602,,congestion_avoidance,
59,76752.880227,57,192.168.88.253,44928,606,,congestion_avoidance,
60,76752.880678,58,192.168.88.253,44928,603,,congestion_avoidance,
61,76752.881561,59,192.168.88.253,44928,672,,congestion_avoidance,
62,76752.882418,60,192.168.88.253,44928,480,,congestion_avoidance,
63,76752.882882,61,192.168.88.253,44928,735,,congestion_avoidance,
64,76752.905687,62,192.168.88.253,44928,513,,congestion_avoidance,
65,76752.906564,63,192.168.88.253,44928,619,,congestion_avoidance,
66,76752.907530,64,192.168.88.253,44928,735,,congestion_avoidance,
67,76752.907935,65,192.168.88.253,44928,629,,congestion_avoidance,
68,76752.908435,40,192.168.88.253,44928,588,,loss_recovery,
69,76752.908782,32,192.168.88.253,44928,733,,loss_recovery,
70,76752.909700,34,192.168.88.253,44928,274,,congestion_avoidance,
71,76752.910202,35,192.168.88.253,44928,387,,congestion_avoidance,
72,76752.910650,36,192.168.88.253,44928,287,,congestion_avoidance,
73,76752.911165,37,192.168.88.253,44928,377,,congestion_avoidance,
74,76752.911678,38,192.168.88.253,44928,347,,congestion_avoidance,
75,76752.912109,39,192.168.88.253,44928,424,,congestion_avoidance,
76,76752.912547,40,192.168.88.253,44928,268,,congestion_avoidance,
77,76752.913068,41,192.168.88.253,44928,391,,congestion_avoidance,
78,76752.913477,42,192.168.88.253,44928,506,,congestion_avoidance,
79,76752.914034,43,192.168.88.253,44928,386,,congestion_avoidance,
80,76752.914469,44,192.168.88.253,44928,431,,congestion_avoidance,
81,76752.914958,45,192.168.88.253,44928,384,,congestion_avoidance,
82,76752.915928,46,192.168.88.253,44928,511,,congestion_avoidance,
83,76752.916483,47,192.168.88.253,44928,550,,congestion_avoidance,
84,76752.916938,48,192.168.88.253,44928,484,,congestion_avoidance,
85,76752.917354,49,192.168.88.253,44928,411,,congestion_avoidance,
86,76752.917825,50,192.168.88.253,44928,387,,congestion_avoidance,
87,76752.918687,51,192.168.88.253,44928,457,,congestion_avoidance,
88,76752.919119,52,192.168.88.253,44928,626,,congestion_avoidance,
89,76752.920034,53,192.168.88.253,44928,456,,congestion_avoidance,
90,76752.920640,54,192.168.88.253,44928,600,,congestion_avoidance,
91,76752.921088,55,192.168.88.253,44928,536,,congestion_avoidance,
92,76752.922016,56,192.168.88.253,44928,650,,congestion_avoidance,
93,76752.922529,57,192.168.88.253,44928,609,,congestion_avoidance,
94,76752.923400,58,192.168.88.253,44928,438,,congestion_avoidance,
95,76752.923926,59,192.168.88.253,44928,691,,congestion_avoidance,
96,76752.924853,60,192.168.88.253,44928,573,,congestion_avoidance,
97,76752.925358,61,192.168.88.253,44928,593,,congestion_avoidance,
98,76752.926331,62,192.168.88.253,44928,484,,congestion_avoidance,
99,76752.927166,63,192.168.88.253,44928,559,,congestion_avoidance,
100,76752.927649,64,192.168.88.253,44928,503,,congestion_avoidance,
101,76752.928695,65,192.168.88.253,44928,774,,congestion_avoidance,
102,76752.929585,39,192.168.88.253,44928,583,,loss_recovery,
103,76752.930029,33,192.168.88.253,44928,320,,congestion_avoidance,
104,76752.930496,34,192.168.88.253,44928,378,,congestion_avoidance,
