line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
1,337061.049672,1,10,4344,14480,192.168.88.253,53052,209,,slow_start,
2,337061.051581,100,84,227336,269328,192.168.88.253,53052,394,,slow_start,
3,337061.052482,157,90,322904,396752,192.168.88.253,53052,531,,loss_recovery,
4,337061.052946,183,45,367792,441640,192.168.88.253,53052,257,,congestion_avoidance,
5,337061.053179,200,45,396752,460464,192.168.88.253,53052,385,,congestion_avoidance,
6,337061.053251,205,45,403992,492320,192.168.88.253,53052,329,,loss_recovery,
7,337061.053535,216,22,431504,515488,192.168.88.253,53052,132,,congestion_avoidance,
8,337061.055872,300,26,605264,686352,192.168.88.253,53052,142,,congestion_avoidance,
9,337061.057437,400,29,783368,883280,192.168.88.253,53052,268,,congestion_avoidance,
10,337061.060433,500,34,1042560,1142472,192.168.88.253,53052,429,,congestion_avoidance,
11,337061.064204,570,41,1384288,1504472,192.168.88.253,53052,603,,loss_recovery,
12,337061.064635,576,20,1423384,1531984,192.168.88.253,53052,205,,congestion_avoidance,
13,337061.065950,600,22,1543568,1659408,192.168.88.253,53052,221,,congestion_avoidance,
14,337061.071825,700,35,2070640,2189376,192.168.88.253,53052,483,,congestion_avoidance,
15,337061.073245,721,37,2196616,2338520,192.168.88.253,53052,496,,loss_recovery,
16,337061.074323,725,18,2229920,2363136,192.168.88.253,53052,180,,congestion_avoidance,
17,337061.077111,800,26,2529656,2680248,192.168.88.253,53052,239,,congestion_avoidance,
18,337061.080759,900,34,2872832,3023424,192.168.88.253,53052,467,,congestion_avoidance,
19,337061.084501,1000,40,3202976,3373840,192.168.88.253,53052,534,,congestion_avoidance,
20,337061.087572,1081,44,3470856,3646064,192.168.88.253,53052,537,,loss_recovery,
21,337061.088007,1098,22,3521536,3675024,192.168.88.253,53052,208,,congestion_avoidance,
22,337061.088170,1100,22,3530224,3675024,192.168.88.253,53052,266,,congestion_avoidance,
23,337061.092218,1200,31,3899464,4065984,192.168.88.253,53052,389,,congestion_avoidance,
24,337061.095633,1300,37,4207888,4383096,192.168.88.253,53052,501,,congestion_avoidance,
25,337061.099495,1400,43,4546720,4719032,192.168.88.253,53052,622,,congestion_avoidance,
26,337061.101317,1451,46,4713240,4905824,192.168.88.253,53052,705,,loss_recovery,
