[378917.006670] audit: type=1400 audit(1781042404.528:156): apparmor="DENIED" operation="capable" profile="/usr/sbin/cupsd" pid=2401019 comm="cupsd" capability=12  capname="net_admin"
[378917.055091] audit: type=1400 audit(1781042404.576:157): apparmor="DENIED" operation="capable" profile="/usr/sbin/cups-browsed" pid=2401041 comm="cups-browsed" capability=23  capname="sys_nice"
[400886.138247] audit: type=1326 audit(1781064373.769:158): auid=1000 uid=1000 gid=1000 ses=3 subj=snap.snap-store.ubuntu-software pid=211902 comm="pool-org.gnome." exe="/snap/snap-store/1216/usr/bin/snap-store" sig=0 arch=c000003e syscall=93 compat=0 ip=0x7f4bf0bc1b1b code=0x50000
[402336.181986] systemd[1]: systemd 249.11-0ubuntu3.21 running in system mode (+PAM +AUDIT +SELINUX +APPARMOR +IMA +SMACK +SECCOMP +GCRYPT +GNUTLS +OPENSSL +ACL +BLKID +CURL +ELFUTILS +FIDO2 +IDN2 -IDN +IPTC +KMOD +LIBCRYPTSETUP +LIBFDISK +PCRE2 -PWQUALITY -P11KIT -QRENCODE +BZIP2 +LZ4 +XZ +ZLIB +ZSTD -XKBCOMMON +UTMP +SYSVINIT default-hierarchy=unified)
[402336.200859] systemd[1]: Detected architecture x86-64.
[402336.201047] Lockdown: systemd: /dev/mem,kmem,port is restricted; see man kernel_lockdown.7
[402336.315698] systemd[1]: Configuration file /run/systemd/system/netplan-ovs-cleanup.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.
[402336.363974] systemd[1]: /lib/systemd/system/snapd.service:23: Unknown key name 'RestartMode' in section 'Service', ignoring.
[402337.070075] systemd-journald[280]: Received SIGTERM from PID 1 (systemd).
[402337.070450] systemd[1]: Stopping Journal Service...
[402337.108349] systemd[1]: systemd-journald.service: Deactivated successfully.
[402337.108837] systemd[1]: Stopped Journal Service.
[402337.108895] systemd[1]: systemd-journald.service: Consumed 6h 51min 28.868s CPU time.
[402337.112700] systemd[1]: Starting Journal Service...
[402337.160449] systemd[1]: Started Journal Service.
[434357.881750] TCP: my_cca: seq=1725 cwnd=57 rtt=494 bytes_acked=5224384 bytes_sent=5474888 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.882244] TCP: my_cca: seq=1743 cwnd=28 rtt=296 bytes_acked=5280856 bytes_sent=5508192 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.884233] TCP: my_cca: seq=1800 cwnd=33 rtt=392 bytes_acked=5515432 bytes_sent=5752904 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.887276] TCP: my_cca: seq=1900 cwnd=40 rtt=364 bytes_acked=5873088 bytes_sent=6110560 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.890662] TCP: my_cca: seq=2000 cwnd=46 rtt=432 bytes_acked=6271288 bytes_sent=6527584 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.893454] TCP: my_cca: seq=2100 cwnd=51 rtt=588 bytes_acked=6602880 bytes_sent=6866416 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.896669] TCP: my_cca: seq=2200 cwnd=56 rtt=663 bytes_acked=6979360 bytes_sent=7248688 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.899927] TCP: my_cca: seq=2300 cwnd=60 rtt=686 bytes_acked=7361632 bytes_sent=7625168 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.902980] TCP: my_cca: seq=2400 cwnd=64 rtt=533 bytes_acked=7719288 bytes_sent=7975584 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.903128] TCP: my_cca: seq=2405 cwnd=64 rtt=476 bytes_acked=7739560 bytes_sent=8030608 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.903699] TCP: my_cca: seq=2423 cwnd=32 rtt=335 bytes_acked=7806168 bytes_sent=8076944 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.906003] TCP: my_cca: seq=2500 cwnd=36 rtt=237 bytes_acked=8078392 bytes_sent=8341928 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.909064] TCP: my_cca: seq=2600 cwnd=42 rtt=481 bytes_acked=8440392 bytes_sent=8715512 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.911919] TCP: my_cca: seq=2700 cwnd=47 rtt=521 bytes_acked=8776328 bytes_sent=9074616 phase=congestion_avoidance Destination: 192.168.88.253:44632
